State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.3,1500,2000,1750,23 Jun 2011
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,1500,1700,1600,08 Nov 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,1500,1700,1600,04 Nov 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,2.0,1600,1800,1700,30 Oct 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,2200,2600,2400,17 Aug 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,2200,2600,2400,10 Aug 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,2000,2600,2300,06 Aug 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,2000,2400,2200,30 Jul 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,2200,2600,2400,27 Jul 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,2000,2400,2200,17 Jul 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,2200,2400,2300,13 Jul 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,2000,2400,2200,06 Jul 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,1600,1800,1700,03 Jul 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,1600,1800,1700,29 May 2010
Kerala,Alappuzha,Chanthroor,Other,Vegetables,0.5,1500,1600,1550,18 May 2010
