State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5500,5700,5600,30 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5500,5700,5600,29 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5500,5700,5600,27 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5500,5700,5600,26 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5600,5800,5700,24 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5200,5100,23 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5500,5700,5600,22 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5600,5800,5700,20 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5600,5800,5700,19 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,2400,2600,2500,18 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5800,6000,5900,17 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5800,6000,5900,16 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5800,6000,5900,15 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5800,6000,5900,11 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,4500,4700,4600,10 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,4500,4700,4600,09 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,4500,4700,4600,08 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,4500,4600,4600,06 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,4500,4700,4600,05 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,4500,4700,4600,04 Jan 2024
Kerala,Alappuzha,Cherthala,Other,Vegetables,2.0,5000,5200,5100,26 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,5000,5200,5100,25 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5200,5100,23 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5200,5100,22 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5200,5100,20 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5200,5100,19 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5200,5100,18 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5200,5100,16 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5200,5100,13 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,2.0,5000,5200,5100,12 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,2.0,5000,5200,5100,11 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5300,5100,09 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,2.0,5000,5200,5100,08 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,5000,5200,5100,07 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,6000,6200,6100,06 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,6000,6200,6100,05 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,6000,6200,6100,04 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,1.0,6000,6200,6100,02 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,2.0,6000,6200,6100,01 Dec 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,2.0,6500,6700,6600,30 Nov 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,3.0,5000,5200,5100,29 Nov 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,8.0,6500,6600,6550,04 Jul 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,8.0,6800,6900,6850,28 Jun 2023
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,2300,2400,2350,18 Mar 2021
Kerala,Alappuzha,Cherthala,Other,Vegetables,8.0,2200,2300,2250,16 Feb 2021
Kerala,Alappuzha,Cherthala,Other,Vegetables,9.0,2000,2200,2100,05 Feb 2021
Kerala,Alappuzha,Cherthala,Other,Vegetables,8.0,2500,2600,2550,25 Jan 2021
Kerala,Alappuzha,Cherthala,Other,Vegetables,8.0,2400,2500,2450,28 Dec 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,8.0,2000,2200,2100,19 Nov 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,3.0,2200,2400,2300,05 Oct 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2900,3000,2950,29 Aug 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,3000,3200,3100,28 Aug 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2500,2600,2550,12 Aug 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,8.0,3000,3150,3100,10 Aug 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2500,2600,2550,23 Jun 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2500,2600,2550,11 Jun 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2300,2400,2350,23 Jan 2020
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,3000,3200,3100,21 Nov 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2500,2600,2550,14 Nov 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,3000,3200,3100,16 Oct 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,2400,2500,2450,15 Oct 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,8.0,3000,3200,3100,07 Sep 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2850,3000,2900,05 Sep 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,8.0,2900,3000,2950,04 Sep 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,7.0,2650,2750,2700,03 Sep 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,7.0,3000,3200,3100,31 Aug 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2500,2650,2600,12 Aug 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2700,2800,2750,06 Aug 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,3000,3150,3100,10 Jun 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,2300,2400,2350,19 Apr 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,2450,2600,2500,13 Apr 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,7.0,3200,3300,3250,10 Apr 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,2500,2600,2550,28 Mar 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,7.0,3000,3150,3100,09 Feb 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,3.0,2500,2600,2550,04 Jan 2019
Kerala,Alappuzha,Cherthala,Other,Vegetables,4.0,3200,3300,3250,13 Dec 2018
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,3000,3150,3100,10 Nov 2018
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,3500,3600,3550,12 Oct 2017
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,2600,2700,2650,04 Oct 2017
Kerala,Alappuzha,Cherthala,Other,Vegetables,7.0,3200,3300,3250,03 Sep 2017
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.5,3250,3350,3300,30 Aug 2017
Kerala,Alappuzha,Cherthala,Other,Vegetables,7.0,3650,3800,3700,29 Aug 2017
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.5,3400,3500,3450,11 Oct 2016
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,3500,3650,3600,20 Sep 2016
Kerala,Alappuzha,Cherthala,Other,Vegetables,12.0,3300,3500,3400,10 Sep 2016
Kerala,Alappuzha,Cherthala,Other,Vegetables,10.0,3250,3350,3300,09 Sep 2016
Kerala,Alappuzha,Cherthala,Other,Vegetables,7.0,4300,4400,4350,12 Aug 2016
Kerala,Alappuzha,Cherthala,Other,Vegetables,5.0,4000,4200,4100,06 Aug 2016
Kerala,Alappuzha,Cherthala,Other,Vegetables,3.0,4000,4150,4100,27 Jul 2016
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.0,3850,3950,3900,26 Jul 2016
Kerala,Alappuzha,Cherthala,Other,Vegetables,6.5,3200,3350,3300,22 Jun 2016
Kerala,Alappuzha,Cherthala,Other,Vegetables,4.0,3200,3400,3300,20 Jun 2016
