State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Idukki,Kattappana,Other,Vegetables,3.1,1200,1400,1200,28 Dec 2013
Kerala,Idukki,Kattappana,Other,Vegetables,3.0,1400,1600,1400,14 Dec 2013
Kerala,Idukki,Kattappana,Other,Vegetables,2.7,1400,2000,1600,07 Dec 2013
Kerala,Idukki,Kattappana,Other,Vegetables,3.6,1400,2000,1800,30 Nov 2013
Kerala,Idukki,Kattappana,Other,Vegetables,3.2,1600,2200,2000,23 Nov 2013
Kerala,Idukki,Kattappana,Other,Vegetables,6.5,1600,1900,1700,27 Dec 2014
Kerala,Idukki,Kattappana,Other,Vegetables,7.5,1400,1700,1600,20 Dec 2014
Kerala,Idukki,Kattappana,Other,Vegetables,6.7,1200,1800,1600,13 Dec 2014
Kerala,Idukki,Kattappana,Other,Vegetables,7.9,1400,2200,1600,06 Dec 2014
Kerala,Idukki,Kattappana,Other,Vegetables,4.5,1400,1800,1600,29 Nov 2014
Kerala,Idukki,Kattappana,Other,Vegetables,6.2,1800,2400,2000,22 Nov 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.8,1800,2200,2000,15 Nov 2014
Kerala,Idukki,Kattappana,Other,Vegetables,2.1,1800,2400,2000,08 Nov 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.1,1600,2200,1800,01 Nov 2014
Kerala,Idukki,Kattappana,Other,Vegetables,2.3,2200,3200,2600,25 Oct 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.2,2500,3800,3000,11 Oct 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.4,2600,3000,2700,31 May 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.8,2800,3000,2800,24 May 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.7,2400,2800,2400,17 May 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.8,2600,3200,2600,10 May 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.9,2400,2500,2400,03 May 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.9,2400,2500,2400,26 Apr 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.6,2000,2400,2000,19 Apr 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.2,2400,3600,2400,12 Apr 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.1,2000,3000,2800,05 Apr 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.2,2600,3000,2600,29 Mar 2014
Kerala,Idukki,Kattappana,Other,Vegetables,4.5,2400,3000,2400,22 Mar 2014
Kerala,Idukki,Kattappana,Other,Vegetables,4.0,1500,2000,2000,15 Mar 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.1,1300,2000,1600,08 Mar 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.1,1400,2000,1500,22 Feb 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.2,1200,1600,1400,15 Feb 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.1,1600,1800,1600,08 Feb 2014
Kerala,Idukki,Kattappana,Other,Vegetables,2.9,1400,2000,1400,01 Feb 2014
Kerala,Idukki,Kattappana,Other,Vegetables,2.8,1200,1400,1400,18 Jan 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.1,1200,1500,1400,11 Jan 2014
Kerala,Idukki,Kattappana,Other,Vegetables,3.0,1400,1600,1400,04 Jan 2014
Kerala,Idukki,Kattappana,Other,Vegetables,9.3,1600,2000,1700,26 Dec 2015
Kerala,Idukki,Kattappana,Other,Vegetables,6.3,1800,2300,2000,12 Dec 2015
Kerala,Idukki,Kattappana,Other,Vegetables,9.9,2000,2400,2100,05 Dec 2015
Kerala,Idukki,Kattappana,Other,Vegetables,9.9,1800,2100,1900,28 Nov 2015
Kerala,Idukki,Kattappana,Other,Vegetables,9.0,2200,2700,2400,21 Nov 2015
Kerala,Idukki,Kattappana,Other,Vegetables,6.6,2200,2600,2400,14 Nov 2015
Kerala,Idukki,Kattappana,Other,Vegetables,9.9,2100,2400,2300,07 Nov 2015
Kerala,Idukki,Kattappana,Other,Vegetables,6.6,1800,2300,2000,31 Oct 2015
Kerala,Idukki,Kattappana,Other,Vegetables,7.0,2000,2400,2100,24 Oct 2015
Kerala,Idukki,Kattappana,Other,Vegetables,6.9,2400,3000,2600,17 Oct 2015
Kerala,Idukki,Kattappana,Other,Vegetables,6.2,2800,3300,3000,10 Oct 2015
Kerala,Idukki,Kattappana,Other,Vegetables,6.0,2600,2900,2700,07 Oct 2015
Kerala,Idukki,Kattappana,Other,Vegetables,6.9,2900,3500,3200,29 Aug 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.8,3000,4000,3500,08 Aug 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.2,3200,3600,3400,01 Aug 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.6,5000,6000,5500,25 Jul 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.3,5500,6500,6000,18 Jul 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.2,5000,5800,5600,11 Jul 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.5,4200,5200,4600,04 Jul 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.2,5000,6000,5500,27 Jun 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.5,4600,6000,5500,20 Jun 2015
Kerala,Idukki,Kattappana,Other,Vegetables,3.4,4500,5800,5000,13 Jun 2015
Kerala,Idukki,Kattappana,Other,Vegetables,3.7,2000,2400,2200,06 Jun 2015
Kerala,Idukki,Kattappana,Other,Vegetables,2.4,2400,3000,2800,30 May 2015
Kerala,Idukki,Kattappana,Other,Vegetables,6.0,2000,2800,2200,23 May 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.0,1800,2300,2000,16 May 2015
Kerala,Idukki,Kattappana,Other,Vegetables,3.5,2800,3500,3000,09 May 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.2,2000,2400,2200,02 May 2015
Kerala,Idukki,Kattappana,Other,Vegetables,3.6,2600,3000,2800,18 Apr 2015
Kerala,Idukki,Kattappana,Other,Vegetables,3.5,2500,3000,2800,28 Mar 2015
Kerala,Idukki,Kattappana,Other,Vegetables,3.6,2200,2800,2600,21 Mar 2015
Kerala,Idukki,Kattappana,Other,Vegetables,3.8,1800,2500,2000,07 Mar 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.3,1800,2400,2000,28 Feb 2015
Kerala,Idukki,Kattappana,Other,Vegetables,3.6,2000,2600,2400,21 Feb 2015
Kerala,Idukki,Kattappana,Other,Vegetables,4.5,1800,2200,2000,14 Feb 2015
Kerala,Idukki,Kattappana,Other,Vegetables,5.6,2200,2600,2400,07 Feb 2015
Kerala,Idukki,Kattappana,Other,Vegetables,5.6,1800,2400,2000,31 Jan 2015
Kerala,Idukki,Kattappana,Other,Vegetables,9.1,1200,1600,1500,17 Jan 2015
Kerala,Idukki,Kattappana,Other,Vegetables,3.5,1600,2000,1800,10 Jan 2015
Kerala,Idukki,Kattappana,Other,Vegetables,8.3,1400,1700,1500,03 Jan 2015
Kerala,Idukki,Kattappana,Other,Vegetables,0.5,3800,3800,3800,31 Dec 2016
Kerala,Idukki,Kattappana,Other,Vegetables,0.2,2400,2400,2400,17 Dec 2016
Kerala,Idukki,Kattappana,Other,Vegetables,9.0,2700,3200,2800,12 Dec 2016
Kerala,Idukki,Kattappana,Other,Vegetables,7.0,2600,3000,2700,10 Dec 2016
Kerala,Idukki,Kattappana,Other,Vegetables,0.3,2600,2800,2600,03 Dec 2016
Kerala,Idukki,Kattappana,Other,Vegetables,0.2,2400,2400,2400,26 Nov 2016
Kerala,Idukki,Kattappana,Other,Vegetables,0.3,2400,2700,2600,19 Nov 2016
Kerala,Idukki,Kattappana,Other,Vegetables,0.2,2000,2200,2200,12 Nov 2016
Kerala,Idukki,Kattappana,Other,Vegetables,0.4,2300,2400,2400,05 Nov 2016
Kerala,Idukki,Kattappana,Other,Vegetables,1.1,2700,3000,2800,29 Oct 2016
Kerala,Idukki,Kattappana,Other,Vegetables,1.3,2800,3000,3000,22 Oct 2016
Kerala,Idukki,Kattappana,Other,Vegetables,1.5,3200,3500,3500,01 Oct 2016
