State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Kollam,Kollam,Other,Vegetables,5.0,2300,2400,2350,10 Nov 2008
Kerala,Kollam,Kollam,Other,Vegetables,5.0,2100,2200,2150,14 Oct 2008
Kerala,Kollam,Kollam,Other,Vegetables,10.0,2300,2400,2350,23 Sep 2008
Kerala,Kollam,Kollam,Other,Vegetables,8.0,1500,1600,1550,25 Mar 2008
Kerala,Kollam,Kollam,Other,Vegetables,10.0,1500,1600,1550,18 Mar 2008
Kerala,Kollam,Kollam,Other,Vegetables,1.0,2200,2400,2300,30 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,1.0,2000,2200,2100,28 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,1.0,2200,2400,2300,24 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,0.5,2600,2800,2700,22 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,0.05,2500,2800,2600,16 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,2.0,2600,2800,2700,15 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,1.0,2700,2800,2750,14 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,1.0,2600,2800,2700,09 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,2.0,2600,2800,2700,08 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,2.0,2500,2700,2600,05 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,1.0,2800,3000,2900,03 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,2.0,2600,2800,2700,02 Dec 2009
Kerala,Kollam,Kollam,Other,Vegetables,0.8,2800,3000,2900,30 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,1.0,2800,3000,2900,26 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,1.0,2800,3000,2900,25 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,2.0,2900,3000,2950,24 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,5.0,2900,3000,2950,21 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,3.0,2800,3000,2900,19 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,2.0,2300,2400,2350,17 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,5.0,2300,2400,2350,13 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,3.0,2400,2500,2450,10 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,10.0,2500,2600,2550,06 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,8.0,2900,3000,2950,03 Nov 2009
Kerala,Kollam,Kollam,Other,Vegetables,5.0,3000,3200,3100,30 Oct 2009
Kerala,Kollam,Kollam,Other,Vegetables,5.0,3000,3200,3100,27 Oct 2009
Kerala,Kollam,Kollam,Other,Vegetables,2.0,3100,3200,3150,23 Oct 2009
Kerala,Kollam,Kollam,Other,Vegetables,8.0,2600,2700,2650,20 Oct 2009
Kerala,Kollam,Kollam,Other,Vegetables,5.0,2600,2700,2650,16 Oct 2009
Kerala,Kollam,Kollam,Other,Vegetables,4.0,2000,2200,2100,16 Jan 2009
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,28 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,27 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,23 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,22 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,21 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,20 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,18 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,17 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,15 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,14 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,13 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,10 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.4,3300,3500,3400,09 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,08 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,07 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,06 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,04 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,03 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,02 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,01 Dec 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.4,2800,3000,2900,27 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,2800,3000,2900,26 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,2800,3000,2900,25 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.4,2800,3000,2900,24 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.4,2800,3000,2900,23 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.4,2800,3000,2900,22 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.6,2800,3000,2900,20 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.4,2800,3000,2900,19 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.4,2800,3000,2900,18 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.4,2800,3000,2900,16 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.4,2800,3000,2900,15 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,2800,3000,2900,12 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,04 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,03 Nov 2010
Kerala,Kollam,Kollam,Other,Vegetables,0.5,3300,3500,3400,02 Nov 2010
