State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1400,1500,1450,18 Dec 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1500,1600,1550,14 Dec 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1400,1500,1450,11 Dec 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1400,1500,1450,07 Dec 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1300,1400,1350,04 Dec 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1400,1500,1450,30 Nov 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1300,1400,1350,27 Nov 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1500,1600,1550,23 Nov 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1400,1500,1450,20 Nov 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1600,1700,1650,16 Nov 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1500,1600,1550,13 Nov 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1500,1600,1550,09 Nov 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1400,1500,1450,06 Nov 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1400,1600,1500,02 Nov 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1300,1400,1350,26 Oct 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1400,1600,1500,23 Oct 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1200,1500,1350,19 Oct 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1200,1400,1300,16 Oct 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1200,1400,1300,12 Oct 2012
Kerala,Kollam,Kottarakkara,Other,Vegetables,0.4,1200,1400,1300,09 Oct 2012
