State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Kollam,Punalur,Other,Vegetables,0.25,7500,8000,7800,04 Sep 2014
Kerala,Kollam,Punalur,Other,Vegetables,0.1,3000,3500,3200,20 Jan 2014
Kerala,Kollam,Punalur,Other,Vegetables,0.2,7000,7500,7500,12 Sep 2013
Kerala,Kollam,Punalur,Other,Vegetables,0.1,2500,3000,2800,28 Feb 2013
Kerala,Kollam,Punalur,Other,Vegetables,0.1,2500,3000,2800,11 Feb 2013
Kerala,Kollam,Punalur,Other,Vegetables,0.1,2000,3000,2500,07 Feb 2013
Kerala,Kollam,Punalur,Other,Vegetables,0.1,4000,4500,4200,07 Jan 2013
Kerala,Kollam,Punalur,Other,Vegetables,0.1,3500,5000,4000,10 Dec 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.1,6500,7000,6800,25 Jun 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.1,6000,7500,6500,21 Jun 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.1,3000,4500,3500,04 Jun 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.15,4000,4500,4200,28 May 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.1,3500,4000,3650,26 Apr 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.25,3500,4000,3800,02 Apr 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.15,2500,3400,3000,29 Mar 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.1,3500,4200,3800,05 Mar 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.2,3500,4000,3800,01 Mar 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.2,3800,4400,4000,27 Feb 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.2,4000,4500,4300,23 Feb 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.3,2800,3400,3000,06 Feb 2012
Kerala,Kollam,Punalur,Other,Vegetables,0.25,2800,3200,3000,29 Dec 2011
Kerala,Kollam,Punalur,Other,Vegetables,0.5,2500,2800,2600,01 Dec 2011
Kerala,Kollam,Punalur,Other,Vegetables,0.5,2600,2800,2750,21 Jan 2010
Kerala,Kollam,Punalur,Other,Vegetables,0.8,2600,2800,2750,14 Jan 2010
Kerala,Kollam,Punalur,Other,Vegetables,0.2,1400,1800,1600,04 Jan 2010
Kerala,Kollam,Punalur,Other,Vegetables,0.5,1500,1700,1650,05 Feb 2009
