State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,1200,1400,1300,11 Aug 2009
Kerala,Kottayam,Pampady,Other,Vegetables,0.1,900,1100,1000,04 Aug 2009
Kerala,Kottayam,Pampady,Other,Vegetables,0.3,1100,1300,1200,24 Jul 2009
Kerala,Kottayam,Pampady,Other,Vegetables,0.4,1100,1300,1200,03 Jul 2009
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,900,1100,1000,17 Apr 2009
Kerala,Kottayam,Pampady,Other,Vegetables,0.3,1100,1300,1200,27 Jan 2009
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,900,1100,1000,16 Jan 2009
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,1100,1300,1200,02 Dec 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,1100,1400,1200,11 Jul 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,1100,1300,1200,04 Jul 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,1100,1300,1200,27 Jun 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.15,1100,1400,1200,25 Apr 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,900,1100,1000,11 Mar 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.1,900,1100,1000,12 Feb 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,800,1100,1000,05 Feb 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.3,700,900,800,29 Jan 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.15,700,900,800,25 Jan 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.15,700,900,800,15 Jan 2008
Kerala,Kottayam,Pampady,Other,Vegetables,0.15,7000,9000,8000,08 Jun 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.12,7000,9000,8000,05 Jun 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.18,7000,9000,8000,18 May 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.23,7500,8500,8000,08 May 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,7500,8500,8000,04 May 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.15,7500,9000,8000,24 Apr 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,7500,9000,8000,17 Apr 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.33,700,900,800,10 Apr 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.3,7000,8000,7500,03 Apr 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.23,7000,8000,7500,27 Mar 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,7000,9000,8000,23 Mar 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.19,6000,8000,7000,20 Mar 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,7000,9000,8000,16 Mar 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.18,7500,9000,8000,13 Mar 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,5000,7000,6000,09 Mar 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.18,6000,8000,7000,06 Mar 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.18,6000,8000,7000,27 Feb 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.08,500,700,600,20 Feb 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,6000,8000,7000,09 Feb 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.28,600,800,700,02 Feb 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.25,600,800,700,30 Jan 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.28,500,800,700,23 Jan 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.3,6000,8000,7000,19 Jan 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.33,600,800,700,16 Jan 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.35,500,700,600,12 Jan 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.33,5000,7000,6000,05 Jan 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,500,700,600,02 Jan 2007
Kerala,Kottayam,Pampady,Other,Vegetables,0.28,450,600,500,29 Dec 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.25,500,800,600,26 Dec 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.2,500,700,600,22 Dec 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.13,550,700,600,15 Dec 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.13,600,800,700,29 Sep 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.15,600,800,700,12 Sep 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.25,600,900,700,01 Sep 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.08,500,700,600,22 Aug 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.18,500,700,600,11 Aug 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.09,6500,7500,7000,27 Jun 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.08,600,800,700,23 Jun 2006
Kerala,Kottayam,Pampady,Other,Vegetables,0.13,6000,8000,7000,16 Jun 2006
