State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.7,2300,2600,2400,28 Dec 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.8,2200,2600,2400,23 Dec 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.8,2200,2400,2300,20 Dec 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.2,2300,2800,2500,16 Dec 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.5,4000,4400,4200,13 Dec 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.3,2400,2800,2600,12 Dec 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,1.0,2200,2600,2400,09 Dec 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,1.0,2800,3300,3000,06 Dec 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,1.0,2400,2800,2600,03 Dec 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,1.0,2600,3000,2800,29 Nov 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,2.0,2200,2600,2400,26 Nov 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.6,2300,2500,2400,22 Nov 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,2.0,2000,2200,2100,18 Nov 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.2,2800,3100,3000,16 Nov 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.2,1800,2100,2000,05 Nov 2013
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.3,2000,2300,2200,30 Dec 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.3,2300,2600,2500,23 Dec 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.5,1800,2100,2000,20 Dec 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.2,1800,2100,2000,29 Nov 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.3,2500,2600,2500,19 Jul 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.2,2200,2400,2300,26 Apr 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.6,2300,2500,2400,22 Apr 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.3,1800,2000,1900,11 Apr 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.1,1500,1700,1600,08 Apr 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.2,2500,2600,2500,05 Apr 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.8,1200,1400,1300,27 Jan 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,1.0,1000,1400,1200,24 Jan 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.5,1600,2000,1800,20 Jan 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.7,1000,1400,1200,17 Jan 2014
Kerala,Kottayam,Thalayolaparambu,Other,Vegetables,0.8,1200,1600,1400,12 Jan 2014
