State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Palakad,vadakarapathy,Other,Vegetables,1.0,1300,1500,1400,01 Nov 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,2.0,2100,2300,2200,26 May 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,2.0,1800,2000,1900,24 May 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,1.0,1300,1500,1400,19 May 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,3.0,1700,2000,1800,17 May 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,2.0,2000,2300,2200,12 May 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,3.0,1100,1400,1300,10 May 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,2.0,1100,1300,1200,05 May 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,2.0,1950,2500,2100,28 Apr 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,2.0,2000,2200,2100,26 Apr 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,3.0,1500,1700,1600,29 Mar 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,2.0,1100,1300,1200,24 Mar 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,3.0,1100,1300,1200,22 Mar 2011
Kerala,Palakad,vadakarapathy,Other,Vegetables,3.0,900,1100,1000,15 Mar 2011
