State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,31 Dec 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,29 Nov 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,22 Nov 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,19 Nov 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,15 Nov 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,12 Nov 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,05 Nov 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,29 Oct 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,26 Oct 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,22 Oct 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,18 Oct 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,10.0,10000,15000,13000,15 Oct 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,11 Oct 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,08 Oct 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,04 Oct 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,01 Oct 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,27 Sep 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,24 Sep 2007
Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,15.0,10000,15000,13000,20 Sep 2007
