State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,0.8,4700,5200,5000,24 Dec 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,2.0,4500,5000,4700,23 Dec 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,0.56,4500,5000,4600,22 Dec 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.0,4500,5500,5000,21 Dec 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.0,4200,4700,4500,20 Dec 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.5,5400,5600,5500,16 Dec 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.5,5000,5500,5200,08 Dec 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,0.5,4500,5500,5000,06 Dec 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,2.0,5000,5500,5200,02 Dec 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.5,5000,6000,5500,30 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.2,5000,6000,5500,29 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,2.5,5500,6000,5800,27 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,0.5,6000,7000,6500,23 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.0,6500,7000,6800,22 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.6,5500,6500,6000,21 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.25,6000,7000,6500,14 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,2.5,6000,6500,6200,12 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,0.65,7000,8000,7500,10 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,0.58,6000,7000,6500,09 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.5,5000,6000,5500,07 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,0.5,5500,6500,6000,04 Nov 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,0.1,6000,6500,6200,24 Oct 2023
Kerala,Pathanamthitta,Puramattom,Yam (Ratalu),Vegetables,1.2,2500,3200,3000,22 Aug 2019
