State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.07,4000,4500,4200,27 Dec 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,4000,4200,4100,11 Dec 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.07,4500,5000,4700,13 Nov 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.07,4500,4700,4600,24 Sep 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.06,4500,4800,4600,10 Sep 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.03,4500,5000,4700,02 Aug 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.07,5000,5200,5100,24 Jul 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,5000,5200,5100,21 Jul 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.08,6000,6500,6200,22 Jun 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,5000,5200,5100,14 Jun 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.03,4500,4800,4700,05 Jun 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,3800,4200,4000,30 May 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,4000,4500,4200,21 May 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.05,5000,5200,5100,16 May 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.07,5800,6000,5900,08 May 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.06,4500,4700,4600,07 Apr 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,4500,5000,4700,05 Apr 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,1800,2300,2000,17 Jan 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,2300,2500,2400,02 Jan 2023
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.07,2500,2800,2600,08 Dec 2022
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.07,2700,2900,2800,15 Nov 2022
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.13,2200,2500,2400,20 Nov 2019
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.3,2600,2800,2700,26 Oct 2019
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.25,2100,2700,2500,03 Jun 2019
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.25,2200,2800,2500,01 Jan 2019
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.07,3000,3500,3200,11 Sep 2018
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.1,2600,3000,2800,02 Feb 2018
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.25,2400,3000,2800,27 Dec 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,3200,3700,3500,18 Nov 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.04,2800,3500,3100,17 Nov 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.15,3500,4500,3800,01 Nov 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.05,3000,3800,3200,28 Oct 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.1,3500,4000,3800,21 Jun 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.3,3500,4500,4000,02 Jun 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.1,3500,4500,4000,31 May 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.05,2200,2800,2500,19 Jan 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.25,2300,2600,2500,14 Jan 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.1,2400,3000,2500,10 Jan 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.1,2300,2800,2500,06 Jan 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.1,2000,2500,2200,03 Jan 2016
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.8,3000,3000,3000,17 Aug 2015
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.1,4200,4200,4200,22 Jul 2015
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.06,3600,3600,3600,18 Jun 2015
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.08,3500,3500,3500,11 Jun 2015
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.09,3000,3000,3000,08 Jun 2015
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.13,3400,3400,3400,04 Jun 2015
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.06,2800,2800,2800,01 Jun 2015
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.09,3000,3000,3000,28 May 2015
Kerala,Thiruvananthapuram,Anyara(EEC),Other,Vegetables,0.09,3000,3000,3000,25 May 2015
