State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Wayanad,Kalpetta,Other,Vegetables,5.0,3300,3500,3400,18 Sep 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,6.0,2800,3000,2900,17 Sep 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,6.0,2800,3000,2900,16 Sep 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,7.0,3300,3500,3400,12 Sep 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,5.0,3300,3500,3400,05 Sep 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,4.0,3300,3500,3400,04 Sep 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,4.0,3200,3400,3300,28 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,4.0,3200,3400,3300,27 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,6.0,3200,3400,3300,26 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,3.5,2300,2500,2400,25 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,4.0,2800,3000,2900,23 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,4.0,2800,3000,2900,22 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,4.0,2800,3000,2900,21 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,4.0,3800,4000,3900,19 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,4.0,2800,3000,2900,18 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,1.2,2800,3000,2900,16 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,1.8,3300,3500,3400,11 Aug 2014
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,2700,2800,2800,17 Nov 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,1.0,4400,4500,4500,10 Aug 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,0.02,5100,5200,5200,29 Jun 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,4400,4500,4500,05 Jun 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,4300,4400,4400,04 Jun 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,4300,4400,4400,03 Jun 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,3900,4000,4000,22 May 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,3900,4000,4000,21 May 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,3.0,3900,4000,4000,20 May 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,3900,4000,4000,19 May 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,3900,4000,4000,18 May 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,3.0,3900,4000,4000,16 May 2015
Kerala,Wayanad,Kalpetta,Other,Vegetables,1.75,2100,2200,2200,30 Dec 2017
Kerala,Wayanad,Kalpetta,Other,Vegetables,1.75,2100,2200,2200,29 Dec 2017
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,2200,2300,2300,28 Dec 2017
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,2100,2200,2200,27 Dec 2017
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.5,2100,2200,2200,26 Dec 2017
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.0,2100,2200,2200,22 Dec 2017
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.5,2100,2200,2200,21 Dec 2017
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.5,2200,2300,2300,20 Dec 2017
Kerala,Wayanad,Kalpetta,Other,Vegetables,2.5,2200,2300,2300,19 Dec 2017
