State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,1000,2000,1500,17 Dec 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,9.0,1000,3000,1500,14 Dec 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,2000,3000,2500,03 Dec 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,7.0,1000,2500,1600,30 Nov 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.5,1000,3000,2000,23 Nov 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1500,2500,2000,22 Nov 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,6.0,1000,2500,1800,21 Nov 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,3.5,1000,2500,1500,20 Nov 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,3000,2000,06 Nov 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,1500,1000,29 Oct 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1500,2000,1800,31 Jan 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,2000,1500,15 Jan 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,1000,2000,1400,12 Jan 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,700,1800,1200,08 Jan 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,1000,1500,1200,02 Jan 2023
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1000,1500,1200,23 Dec 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,1800,1500,08 Dec 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,1800,1400,05 Dec 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.5,1000,1500,1200,02 Dec 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1000,2000,1500,30 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,1500,1200,29 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,1000,1500,1200,24 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,1200,2000,1500,23 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,1200,1800,1500,22 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1200,1800,1500,21 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1200,2000,1500,18 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1000,1500,1200,17 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1200,1800,1500,16 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1200,1800,1500,15 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1000,2000,1500,06 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1200,1800,1500,03 Nov 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1200,1800,1500,31 Oct 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1200,1800,1500,30 Oct 2022
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1200,2000,1500,28 Oct 2022
