State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,100.0,1000,2000,1600,08 Dec 2023
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,100.0,1000,2000,1600,04 Dec 2023
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,100.0,1000,2500,2000,26 Nov 2023
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,104.0,1500,3000,2500,21 Nov 2023
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,38.0,1000,2500,1800,19 Oct 2023
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,100.0,1000,2500,1800,18 Oct 2023
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,140.0,800,1600,1200,05 Dec 2022
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,20.0,600,1200,1000,11 Mar 2021
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,20.0,600,1200,1000,10 Mar 2021
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,40.0,400,1000,800,08 Mar 2021
Madhya Pradesh,Indore,Indore(F&V),Other,Vegetables,28.0,600,1200,800,06 Mar 2021
