State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.1,1000,1000,1000,14 Jan 2015
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.06,1000,1000,1000,10 Jan 2015
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.08,800,1200,1000,08 Jan 2015
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.08,1200,1200,1200,01 Jan 2015
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.04,900,1100,1000,31 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.08,1000,1200,1100,30 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.08,1000,1000,1000,29 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.08,900,1200,1000,27 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.08,1000,1200,1100,25 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.1,1000,1000,1000,21 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.05,1000,1000,1000,20 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.1,1000,1000,1000,18 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.1,1000,1000,1000,15 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.05,800,1200,1000,12 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.35,800,1200,1000,11 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.35,700,1000,800,09 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.3,900,1100,1000,08 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.2,900,1100,1000,07 Dec 2014
Madhya Pradesh,Indore,Sanwer,Other,Vegetables,0.25,1000,1000,1000,06 Dec 2014
