State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.1,1000,1000,1000,12 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.2,1000,1000,1000,11 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.3,1000,1000,1000,10 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.3,1000,2000,1000,08 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.2,2000,2000,2000,07 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.5,1500,2000,2000,06 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.3,1000,1000,1000,05 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.6,1000,1000,1000,04 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.3,2000,2000,2000,03 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,2.5,1000,1000,1000,02 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.3,2000,2000,2000,01 Nov 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.2,1000,1000,1000,31 Oct 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,2.7,1000,1000,1000,16 Oct 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.1,2500,2500,2500,07 Jul 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.15,2000,2000,2000,04 Jul 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,1.2,2000,2000,2000,03 Jul 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,1.2,2000,2000,2000,02 Jul 2023
Madhya Pradesh,Katni,Katni(F&V),Other,Vegetables,0.1,1000,1000,1000,01 Jul 2023
