State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,15 Nov 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.05,1000,1000,1000,19 Jan 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1500,1500,17 Jan 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,14 Jan 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,13 Jan 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,06 Jan 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,05 Jan 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.2,1000,1000,1000,04 Jan 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,02 Jan 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,01 Jan 2016
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,29 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,27 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.2,1000,1000,1000,24 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,22 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,21 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.2,1000,1000,1000,20 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.3,1000,1000,1000,18 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.3,1000,1000,1000,17 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.2,800,1000,1000,15 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.3,800,1000,1000,14 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,13 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.4,1000,1000,1000,12 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,08 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.35,500,1000,800,07 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.2,500,1000,800,06 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.3,500,1000,800,05 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.2,500,1000,800,04 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.5,500,1000,800,03 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.2,800,1000,1000,02 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.3,500,1000,700,01 Dec 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,19 Nov 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,28 Oct 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,1000,1000,1000,26 Oct 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.4,500,500,500,19 Feb 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,500,700,600,04 Feb 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,2.1,500,1000,700,25 Jan 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.1,500,700,600,23 Jan 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.2,500,1000,700,22 Jan 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,1.35,500,1000,700,20 Jan 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.2,500,1000,700,15 Jan 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,1.7,500,1000,700,13 Jan 2015
Madhya Pradesh,Shajapur,Shajapur(F&V),Other,Vegetables,0.15,500,1000,700,12 Jan 2015
