State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.65,3000,4000,3500,29 Nov 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.65,3000,4000,3500,21 Nov 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.7,3000,4000,3500,04 Nov 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.65,3000,4000,3500,21 Oct 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.6,4000,5000,4500,25 Sep 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.45,4000,5000,4500,17 Sep 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.65,4000,5000,4500,31 Aug 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.4,4000,5000,4500,24 Aug 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.55,3000,5000,4000,08 Aug 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.55,3000,5000,4000,31 Jul 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.55,5000,6000,5500,15 Jul 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.4,3500,4000,3750,21 Jun 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.3,4000,5000,4500,05 Jun 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.35,4000,5000,4500,28 May 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.45,3000,4000,3500,03 Apr 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.3,3000,4000,3500,25 Mar 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.5,3000,4000,3500,11 Mar 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.55,3000,4000,3500,02 Mar 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.5,3000,4000,3500,22 Feb 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.55,3000,4000,3500,13 Feb 2019
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.65,3000,4000,3500,01 Nov 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.45,3000,4000,3500,08 Oct 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.25,3000,4000,3500,22 Sep 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.55,3000,4000,3500,14 Sep 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.4,3000,4000,3500,06 Sep 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.35,3000,4000,3500,21 Aug 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.45,3000,4000,3500,13 Aug 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.44,3000,4000,3500,04 Aug 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.35,3000,4000,3500,12 Jul 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.45,3000,4000,3500,05 Jul 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.55,3000,4000,3500,26 Jun 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.45,3000,4000,3500,25 May 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.5,3000,4000,3500,17 May 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.4,3000,4000,3500,10 May 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.45,3000,4000,3500,01 May 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.5,3500,4000,3750,24 Apr 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.3,3000,4000,3500,14 Apr 2018
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.6,3000,4000,3500,23 Feb 2017
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.7,3000,4000,3500,15 Feb 2017
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.8,3000,4000,3500,07 Feb 2017
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.6,3000,4000,3500,25 Nov 2015
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.8,3000,4000,3500,17 Nov 2015
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.6,4000,5000,4500,09 Nov 2015
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.4,4000,5000,4500,31 Oct 2015
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.6,4000,5000,4500,16 Oct 2015
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.8,4000,5000,4500,08 Oct 2015
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.5,4000,5000,4500,30 Sep 2015
Meghalaya,East Jaintia Hills,Khliehriat,Other,Vegetables,0.5,3000,4000,3500,22 Sep 2015
