State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.04,5500,6500,6000,08 Jan 2018
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.04,5500,6500,6000,22 Dec 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.05,5500,6500,6000,14 Dec 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.06,5500,6500,6000,06 Dec 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.07,5500,6500,6000,28 Nov 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.08,5500,6500,6000,20 Nov 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.2,5500,7500,6500,13 Nov 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.1,5500,7000,6000,06 Nov 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.08,5500,6500,6000,27 Oct 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.09,5500,6500,6000,19 Oct 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.07,5500,6500,6000,11 Oct 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.07,5500,6500,6000,03 Oct 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.07,5500,6500,6000,25 Sep 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.06,5500,6500,6000,21 Jun 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.08,5000,7000,6000,13 Jun 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.07,5000,7000,6000,05 Jun 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.1,5000,7000,6000,29 May 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.08,5000,7000,6000,12 May 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.09,5000,7000,6000,04 May 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.05,5000,7000,6000,26 Apr 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.07,5000,7000,6000,18 Apr 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.18,4500,6500,5500,11 Apr 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.09,4500,6500,5500,04 Apr 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.09,4000,6000,5000,17 Mar 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.11,5000,7000,6000,09 Mar 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.13,5000,7000,6000,01 Mar 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.14,5500,6500,6000,21 Feb 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.15,5500,6500,6000,14 Feb 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.28,5500,6500,6000,20 Jan 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.27,4000,6000,5000,12 Jan 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.27,4000,6000,5000,04 Jan 2017
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.25,5000,7000,6000,19 Dec 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.25,5000,7000,6000,13 Dec 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.28,5000,7000,6000,25 Nov 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.3,5000,7000,6000,17 Nov 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.32,5000,7000,6000,10 Nov 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.28,5000,7000,6000,01 Nov 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.05,6000,8000,7000,17 May 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.16,5000,7000,6000,09 May 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.15,4000,6000,5000,26 Apr 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.2,5000,7000,6000,30 Mar 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.18,5000,7000,6000,14 Mar 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.18,5000,7000,6000,07 Mar 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.17,5000,7000,6000,29 Feb 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.15,5000,7000,6000,19 Feb 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.13,5000,7000,6000,12 Feb 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.1,5000,7000,6000,03 Feb 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.15,5000,7000,6000,18 Jan 2016
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.15,6000,7000,6500,01 Dec 2015
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.15,5500,6500,6000,24 Nov 2015
Meghalaya,East Khasi Hills,Sohra,Other,Vegetables,0.17,5500,6500,6000,17 Nov 2015
