State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.5,1500,2000,1750,17 May 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.5,1500,2000,1750,03 May 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.2,1500,2000,1750,26 Apr 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.5,2000,2500,2250,12 Apr 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.0,1500,2000,1750,05 Apr 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.0,1500,2000,1750,23 Feb 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.0,1500,2000,1750,16 Feb 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.5,1800,2000,1900,09 Feb 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.2,2000,2500,2250,27 Jan 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,3.0,1500,2000,1750,05 Jan 2016
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.0,2000,2500,2250,15 Dec 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.0,2000,2500,2250,01 Dec 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.0,2000,2500,2250,24 Nov 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.2,2000,2500,2250,17 Nov 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.3,2000,2500,2250,10 Nov 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.5,2000,2500,2250,03 Nov 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.5,1500,2000,1750,27 Oct 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.5,1800,2000,1900,20 Oct 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.5,2000,2500,2250,13 Oct 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.5,1800,2000,1900,06 Oct 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.5,1800,2000,1900,29 Sep 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.0,2000,2500,2250,22 Sep 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,1.0,2000,2500,2250,15 Sep 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,3.0,4000,5000,4500,25 Aug 2015
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.0,500,600,550,17 Jan 2007
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,3.0,500,600,550,10 Jan 2007
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.0,800,1000,900,14 Nov 2006
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.5,1000,1200,1100,03 Oct 2006
Meghalaya,West Garo Hills,Garobadha,Other,Vegetables,2.0,1000,1200,1100,26 Sep 2006
