State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.08,3000,5000,4000,19 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.09,3000,5000,4000,18 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.07,3000,5000,4000,17 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.08,3000,5000,4000,16 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.07,3000,5000,4000,15 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.1,3000,5000,4000,13 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.1,3000,5000,4000,12 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.09,3000,5000,4000,11 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.08,3000,5000,4000,09 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.06,3000,5000,4000,08 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.08,3000,5000,4000,06 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.06,3000,5000,4000,05 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.07,3000,5000,4000,04 May 2017
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.3,3000,5000,4000,10 Sep 2016
Mizoram,Lungli,Super Market Lungli (Bara Bazar),Other,Vegetables,0.07,3000,5000,4000,09 Sep 2016
