State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,0.1,1400,1600,1500,21 Dec 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,0.1,1400,1600,1500,17 Dec 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,750,833,800,18 Nov 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,3.0,750,917,833,15 Nov 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,833,917,875,14 Nov 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,7.0,833,933,875,09 Nov 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,800,933,867,08 Nov 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,750,917,833,07 Nov 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,900,1000,950,03 Nov 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,833,967,917,20 Oct 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,5.0,750,917,830,13 Oct 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,5.0,750,867,800,12 Oct 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,6.0,667,767,733,22 Sep 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,15.0,667,767,733,21 Sep 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,5.0,667,750,708,18 Sep 2006
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,500,600,567,27 Dec 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,600,700,633,12 Dec 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,2.0,500,667,600,30 Nov 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,533,617,583,19 Oct 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,3.0,500,567,533,15 Oct 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,10.0,500,567,533,12 Oct 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,18.0,533,633,583,06 Oct 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,533,600,567,01 Oct 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,4.0,533,600,567,29 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,2.0,500,567,542,26 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,14.0,500,550,533,25 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,500,600,567,21 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,13.0,500,600,567,20 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,4.0,500,600,567,19 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,7.0,567,633,600,13 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,3.0,583,700,667,12 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,14.0,583,700,667,11 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,2.0,567,667,625,10 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,16.0,567,667,625,08 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,14.0,567,667,625,07 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,14.0,533,667,600,06 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,9.0,583,700,667,04 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,8.0,600,750,700,03 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,15.0,583,700,667,01 Sep 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,19.0,567,700,633,31 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,6.0,500,633,600,28 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,20.0,533,667,625,24 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,5.0,500,633,600,23 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,542,633,600,20 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,12.0,467,550,533,14 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,3.0,467,550,533,13 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,3.0,467,550,533,11 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,5.0,467,550,533,10 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,7.0,467,550,533,09 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,9.0,467,550,533,08 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,500,550,533,04 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,4.0,500,550,533,03 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,15.0,500,542,525,01 Aug 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,5.0,500,542,525,31 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,7.0,483,533,517,28 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,5.0,467,533,500,26 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,17.0,417,533,500,25 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,7.0,467,500,483,24 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,8.0,467,517,500,21 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,12.0,467,517,500,20 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,4.0,467,533,517,19 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,8.0,467,533,517,18 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,10.0,483,533,517,13 Jul 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,1000,1167,1083,15 Feb 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,2.0,1000,1083,1067,09 Feb 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,900,1000,967,23 Jan 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,1.0,833,1000,950,20 Jan 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,2.0,833,1000,933,10 Jan 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,3.0,833,933,900,09 Jan 2007
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,0.6,1200,1300,1250,30 Dec 2008
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,0.7,575,625,600,28 Nov 2008
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,0.3,575,650,625,26 Nov 2008
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,5.2,563,625,600,25 Nov 2008
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,0.7,550,600,575,21 Nov 2008
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,8.3,500,625,563,18 Nov 2008
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,6.5,500,600,550,15 Nov 2008
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,0.8,500,600,550,14 Nov 2008
NCT of Delhi,Delhi,Azadpur,Other,Vegetables,0.5,550,600,575,12 Nov 2008
