State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,12.8,800,1000,900,30 May 2009
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.1,600,800,700,25 Oct 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.3,700,1000,900,22 Oct 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.3,700,900,800,21 Oct 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,1.0,600,800,700,20 Oct 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.1,600,1000,800,18 Oct 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.2,800,1200,1000,17 Oct 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.1,600,1000,800,16 Oct 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.4,700,900,800,13 Jul 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.3,700,900,800,12 Jul 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.5,700,900,800,11 Jul 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.2,600,800,700,10 Jul 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,2.5,700,900,800,27 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.2,800,1200,1000,27 Oct 2007
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.3,500,700,600,22 Oct 2007
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.1,400,600,500,19 Oct 2007
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.2,400,600,500,18 Oct 2007
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.4,600,1000,800,06 Oct 2007
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.8,600,800,700,05 Oct 2007
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.2,800,1000,900,27 Sep 2007
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.4,800,1000,900,26 Sep 2007
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,2.0,400,600,500,16 Sep 2006
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.5,400,600,500,14 Sep 2006
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,1.5,400,600,500,12 Sep 2006
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,1.0,400,600,500,26 Aug 2006
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.3,200,300,250,12 Nov 2003
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,2.5,150,200,180,15 Oct 2003
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.6,100,250,150,14 Oct 2003
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.6,150,250,200,13 Oct 2003
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.2,150,300,200,12 Oct 2003
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.1,100,200,150,11 Oct 2003
NCT of Delhi,Delhi,Shahdara,Other,Vegetables,0.1,100,200,150,08 Oct 2003
