State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5000,5500,5300,15 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,2.0,4500,5000,4700,13 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5600,6300,6000,12 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5500,6500,6000,11 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5000,6000,5500,10 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,6.0,4500,5500,5000,09 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,2.0,5700,6500,6000,08 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5600,6400,6000,06 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,6.0,5500,6300,5800,05 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,5.0,5700,6300,6000,04 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,6000,6500,6300,03 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5700,6300,6000,02 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,2.0,5800,6500,6300,01 Feb 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,5.0,5500,6500,6000,30 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5800,6500,6200,29 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,5.0,5500,6200,5800,28 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5700,6300,6000,27 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5500,6200,5800,26 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5700,6300,6000,25 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,5.0,5500,6200,5800,23 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,2.0,5800,6300,6000,22 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5500,6200,5800,21 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,6.0,5200,6000,5500,20 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5500,6300,5800,19 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5700,6500,6000,18 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5500,6300,5800,13 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,5.0,5700,6500,6000,12 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5700,6500,6000,11 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5800,6500,6200,09 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,5.0,5700,6500,6000,08 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,6.0,5300,6000,5500,07 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5500,6300,5800,06 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,5.0,5500,6300,5800,05 Jan 2021
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5700,6500,6000,19 Dec 2020
Nagaland,Dimapur,Dimapur,Other,Vegetables,2.0,6000,7000,6500,18 Dec 2020
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,6000,7000,6500,17 Dec 2020
Nagaland,Dimapur,Dimapur,Other,Vegetables,5.0,5700,6500,6200,16 Dec 2020
Nagaland,Dimapur,Dimapur,Other,Vegetables,4.0,5500,6500,6000,15 Dec 2020
Nagaland,Dimapur,Dimapur,Other,Vegetables,2.0,3700,3900,3800,22 Jun 2015
Nagaland,Dimapur,Dimapur,Other,Vegetables,2.0,4000,4200,4100,18 Jun 2015
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5000,5400,5200,10 Jun 2015
Nagaland,Dimapur,Dimapur,Other,Vegetables,3.0,5000,5400,5200,09 Jun 2015
