State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.3,3500,3800,3700,01 Feb 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.1,3500,3800,3700,31 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.3,3500,3800,3700,30 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.25,3500,3800,3700,29 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.2,3500,3800,3700,27 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.1,3500,3800,3700,25 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.2,3500,3800,3700,24 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.3,3500,3800,3700,23 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.2,3500,3800,3700,22 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.25,3500,3800,3700,20 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.25,3500,3800,3700,19 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.15,3500,3800,3700,18 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.2,3500,3800,3700,17 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.2,3500,3800,3700,15 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.15,3500,3800,3700,13 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.15,3500,3800,3700,12 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.25,3500,3800,3700,11 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.3,3500,3800,3700,10 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.25,3500,3800,3700,09 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.2,3500,3800,3700,08 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.3,3500,3800,3700,06 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.25,3500,3800,3700,05 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.3,3500,3800,3700,04 Jan 2024
Nagaland,Dimapur,Niuland,Yam (Ratalu),Vegetables,0.1,3500,3800,3700,03 Jan 2024
