State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Kiphire,Kipheri,Other,Vegetables,0.02,6000,6300,6200,18 Oct 2023
Nagaland,Kiphire,Kipheri,Other,Vegetables,0.25,6300,6500,6400,17 Oct 2023
Nagaland,Kiphire,Kipheri,Other,Vegetables,0.24,6500,6800,6700,16 Oct 2023
Nagaland,Kiphire,Kipheri,Other,Vegetables,1.0,1900,2200,2100,29 Nov 2019
Nagaland,Kiphire,Kipheri,Other,Vegetables,2.0,1800,2100,2000,22 Nov 2019
Nagaland,Kiphire,Kipheri,Other,Vegetables,4.0,1700,2000,1800,16 Nov 2019
Nagaland,Kiphire,Kipheri,Other,Vegetables,4.0,1700,2000,1800,15 Nov 2019
Nagaland,Kiphire,Kipheri,Other,Vegetables,3.0,1800,2100,2000,01 Nov 2019
Nagaland,Kiphire,Kipheri,Other,Vegetables,4.0,1700,2000,1800,25 Oct 2019
Nagaland,Kiphire,Kipheri,Other,Vegetables,3.5,1800,2100,1900,18 Oct 2019
Nagaland,Kiphire,Kipheri,Other,Vegetables,2.0,1900,2200,2100,11 Oct 2019
