State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.13,2000,3000,2500,01 Feb 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.15,2000,3000,2500,31 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.2,2000,3000,2500,29 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.17,2000,3000,2500,24 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.16,2000,3000,2500,22 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.15,2000,3000,2500,20 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.12,2000,3000,2500,19 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,2000,3000,2500,17 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.15,2000,3000,2500,12 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,2000,3000,2500,11 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.13,2000,3000,2500,09 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,2000,2500,2300,06 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,2000,3000,2500,05 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.12,2000,3000,2500,04 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,2500,3500,3000,02 Jan 2024
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,1500,2500,2000,26 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,2000,3000,2500,21 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.13,2000,3000,2500,20 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.15,2000,3000,2500,19 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.14,2000,3000,2500,18 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.14,2000,3000,2500,15 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.2,2000,3000,2500,14 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,2000,3000,2500,11 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,2000,3000,2500,08 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.17,2500,3500,3000,05 Dec 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.13,2000,3000,2500,30 Nov 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.25,2000,3000,2500,29 Nov 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.1,2000,3000,2500,28 Nov 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,25 Nov 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.2,2500,3500,3000,24 Nov 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.2,2000,3000,2500,23 Nov 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.22,2500,3000,2700,21 Nov 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.2,2000,3000,2500,20 Nov 2023
Nagaland,Kohima,Jalukie,Yam (Ratalu),Vegetables,0.2,2500,3500,3000,18 Nov 2023
