State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Kohima,Kohima,Other,Vegetables,7.6,3500,4500,4000,19 Oct 2023
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,4500,5000,4750,11 May 2015
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,4000,4500,4250,06 May 2015
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,4500,5000,4750,01 May 2015
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,4000,4500,4250,23 Apr 2015
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,4000,4500,4250,22 Apr 2015
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,4000,4500,4250,20 Apr 2015
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,4000,4500,4250,18 Apr 2015
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,2500,3000,2750,15 Apr 2015
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4500,5000,4750,12 Feb 2015
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4500,5000,4750,11 Feb 2015
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4500,5000,4750,09 Feb 2015
Nagaland,Kohima,Kohima,Other,Vegetables,18.0,1500,2000,1750,11 Nov 2014
Nagaland,Kohima,Kohima,Other,Vegetables,5.0,3000,3500,3250,22 Oct 2014
Nagaland,Kohima,Kohima,Other,Vegetables,5.0,3000,3500,3250,21 Oct 2014
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,2000,2500,2250,15 Oct 2014
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,2000,2500,2250,14 Oct 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1500,2000,1750,01 Oct 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1500,2000,1750,30 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1500,2000,1750,29 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,26 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,25 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,3.0,1500,2000,1750,23 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,3.0,2000,2500,2250,19 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,17 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,15 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,11 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,10 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,09 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,05 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,04 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,03 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,01 Sep 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,30 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,1000,1500,1250,29 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4000,4500,4250,26 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,5.0,3500,4000,3750,25 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4000,4500,4250,22 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4000,4500,4250,21 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4000,4500,4250,19 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4000,4500,4250,14 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4000,4500,4250,13 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,4.0,4000,4500,4250,12 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,3.0,4000,4500,4250,11 Aug 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,4000,4500,4250,31 Jul 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,4000,4500,4250,30 Jul 2014
Nagaland,Kohima,Kohima,Other,Vegetables,2.0,4000,4500,4250,18 Jul 2014
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,3500,4000,3750,08 Jul 2014
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,3500,4000,3750,04 Jul 2014
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,3500,4000,3750,01 Jul 2014
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,3500,4000,3750,27 Jun 2014
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,3500,4000,3750,19 Jun 2014
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,3500,4000,3750,17 Jun 2014
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,3500,4000,3750,16 Jun 2014
Nagaland,Kohima,Kohima,Other,Vegetables,1.0,3500,4000,3750,13 Jun 2014
