State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.7,3500,4500,4000,01 Feb 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4300,4000,31 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.5,3500,4300,4000,30 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4500,4000,29 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.2,3500,4500,4000,27 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.8,3500,4500,4000,25 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4300,4000,24 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.2,3500,4300,4000,23 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.2,3500,4300,4000,22 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4300,4000,20 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.5,3500,4000,3800,19 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,18 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.5,3500,4500,4000,12 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.6,3500,4500,4000,11 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4500,4000,09 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,06 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,05 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.7,3500,4500,4000,04 Jan 2024
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,28 Dec 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.7,3500,4500,4000,22 Dec 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.2,3500,4500,4000,20 Dec 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,18 Dec 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,16 Dec 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,15 Dec 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.2,3500,4000,3700,12 Dec 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.2,3500,4000,3700,09 Dec 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4500,4000,04 Dec 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.7,3500,4500,4000,30 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,28 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,25 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.7,3500,4500,4000,23 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4500,4000,21 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,20 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4000,3700,17 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.3,3500,4000,3700,16 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.4,3500,4500,4000,15 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4500,4000,13 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.5,3500,4000,3800,11 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4000,3800,10 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,7.6,3500,4500,4000,08 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.5,3500,4500,4000,06 Nov 2023
Nagaland,Kohima,Tseminyu,Other,Vegetables,8.5,3500,4500,4000,03 Nov 2023
