State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Longleng,Longleng,Other,Vegetables,2.0,4200,4500,4300,01 Feb 2024
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,5700,6000,5800,29 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6300,6600,6400,23 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6300,6600,6400,15 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6200,6500,6300,11 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6300,6600,6400,09 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,7200,7500,7300,08 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6300,6600,6400,05 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,8300,8600,8400,04 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6600,6900,6700,03 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,8300,8600,8400,02 Jan 2024
Nagaland,Longleng,Longleng,Other,Vegetables,2.0,4600,4900,4700,29 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,7600,7900,7700,28 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,2.0,4700,5000,4800,27 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,8600,8900,8700,26 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6600,6900,6700,23 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,2.0,5300,5600,5400,22 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6600,6900,6700,21 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6600,7000,6800,20 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,8400,8700,8500,19 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,8800,9100,8900,16 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,7100,7400,7200,14 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,10700,11100,10800,13 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6500,6800,6600,12 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6700,7000,6800,11 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6700,7000,6800,08 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,7200,7500,7300,07 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,8800,9100,8900,06 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,6700,7000,6800,05 Dec 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,2900,3200,3000,14 Apr 2023
Nagaland,Longleng,Longleng,Other,Vegetables,2.0,2300,2600,2400,17 Feb 2023
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,2700,3000,2800,27 Jan 2023
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,3300,3600,3400,20 Jan 2023
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,1800,2100,1900,13 Jan 2023
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,2700,3000,2800,07 Jan 2023
Nagaland,Longleng,Longleng,Other,Vegetables,5.0,3000,3300,3100,30 Dec 2022
Nagaland,Longleng,Longleng,Other,Vegetables,6.0,2700,3000,2800,23 Dec 2022
Nagaland,Longleng,Longleng,Other,Vegetables,5.0,1900,2200,2000,28 Oct 2022
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,2000,2300,2100,07 Oct 2022
Nagaland,Longleng,Longleng,Other,Vegetables,7.0,4000,4200,4100,14 Jan 2022
Nagaland,Longleng,Longleng,Other,Vegetables,5.0,2000,2300,2100,29 Oct 2021
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,1800,2100,1900,22 Oct 2021
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,1700,2000,1800,29 Jan 2021
Nagaland,Longleng,Longleng,Other,Vegetables,2.0,1900,2200,2100,29 Nov 2019
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,1800,2100,2000,22 Nov 2019
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,1700,2000,1800,15 Nov 2019
Nagaland,Longleng,Longleng,Other,Vegetables,5.0,1600,1900,1700,01 Nov 2019
Nagaland,Longleng,Longleng,Other,Vegetables,4.0,1700,2000,1800,25 Oct 2019
Nagaland,Longleng,Longleng,Other,Vegetables,3.0,1800,2100,1900,18 Oct 2019
Nagaland,Longleng,Longleng,Other,Vegetables,2.0,1900,2200,2100,11 Oct 2019
