State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,7.0,3800,4100,4000,28 Aug 2017
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,6.0,4000,4400,4200,21 Aug 2017
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,6.0,4600,4900,4850,20 Mar 2017
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,8.0,4500,4800,4700,14 Mar 2017
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,3.0,4000,4300,4200,05 Dec 2016
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,4.0,3200,3600,3300,09 Aug 2016
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,5.0,3000,3500,3300,01 Aug 2016
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,2500,3000,2750,11 May 2015
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,2.0,1500,2000,1750,29 Sep 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,4.0,2500,3000,2750,15 Sep 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,3.0,2000,2500,2250,01 Sep 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,4.0,3000,3500,3250,25 Aug 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,3.0,2500,3000,2750,11 Aug 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,1500,2000,1750,16 Jun 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,800,1000,900,26 May 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,1000,1500,1250,19 May 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,1000,1500,1250,12 May 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,800,1000,900,05 May 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,800,1000,900,28 Apr 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,800,1000,900,21 Apr 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,800,1000,900,14 Apr 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,800,1000,900,07 Apr 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,1.0,800,1000,900,24 Mar 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,2.0,800,1000,900,10 Mar 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,3.0,800,1000,900,03 Mar 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,3.0,800,1000,900,27 Jan 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,3.0,1000,1200,1100,20 Jan 2014
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,3.0,1500,2000,1750,25 Nov 2013
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,4.0,1000,1500,1250,18 Nov 2013
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,4.0,1000,1500,1250,28 Oct 2013
Nagaland,Mokokchung,Mokokchung Town,Other,Vegetables,4.0,1000,1500,1250,14 Oct 2013
