State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,8000,8200,8100,14 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,10000,10250,10125,13 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,3.0,6000,6300,6150,12 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,8000,8200,8100,11 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,10000,10200,10100,10 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,7200,7400,7300,08 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,8000,8200,8100,06 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,7200,7400,7300,05 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,3.0,5400,5700,5550,04 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,7500,7700,7600,03 Jul 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,6000,6200,6100,30 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,7500,7700,7600,29 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,6.0,9000,9300,9150,28 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,7500,7700,7600,27 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,6000,6200,6100,26 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,6000,6200,6100,24 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,4800,5000,4900,23 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,6.0,7200,7500,7350,22 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,6000,6250,6100,21 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,4800,5000,4900,20 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,6000,6200,6100,19 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,4800,5000,4900,17 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,6000,6200,6100,16 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,4800,5200,4900,15 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,3.0,3600,3900,3750,14 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,4800,5000,4900,13 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,5.0,6000,6200,6100,12 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,3.0,3600,3900,3750,10 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,4800,5000,4900,09 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,3.0,3600,3900,3750,08 Jun 2023
Nagaland,Mokokchung,Tuli,Other,Vegetables,4.0,4800,5000,4900,07 Jun 2023
