State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Mon,Naginimora,Other,Vegetables,2.0,4400,5400,5000,23 Nov 2022
Nagaland,Mon,Naginimora,Other,Vegetables,3.0,6000,7200,6900,09 Nov 2022
Nagaland,Mon,Naginimora,Other,Vegetables,2.0,4400,5600,5000,11 May 2022
Nagaland,Mon,Naginimora,Other,Vegetables,1.1,2750,3300,3080,04 May 2022
Nagaland,Mon,Naginimora,Other,Vegetables,1.3,3250,3900,3640,27 Apr 2022
Nagaland,Mon,Naginimora,Other,Vegetables,1.8,4500,5400,5040,13 Apr 2022
Nagaland,Mon,Naginimora,Other,Vegetables,2.6,5980,7020,6240,06 Apr 2022
Nagaland,Mon,Naginimora,Other,Vegetables,3.1,6200,7440,7130,23 Mar 2022
Nagaland,Mon,Naginimora,Other,Vegetables,3.5,7000,8400,8050,16 Mar 2022
Nagaland,Mon,Naginimora,Other,Vegetables,3.0,5900,7000,6800,09 Mar 2022
Nagaland,Mon,Naginimora,Other,Vegetables,3.0,6000,7200,6900,02 Mar 2022
Nagaland,Mon,Naginimora,Other,Vegetables,2.0,4500,5450,5000,05 Sep 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,29 Aug 2018
Nagaland,Mon,Naginimora,Other,Vegetables,2.0,4500,5400,5000,08 Aug 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,01 Aug 2018
Nagaland,Mon,Naginimora,Other,Vegetables,2.0,4400,5400,5000,25 Jul 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,25 Apr 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,18 Apr 2018
Nagaland,Mon,Naginimora,Other,Vegetables,2.0,4400,5400,5000,21 Mar 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,14 Mar 2018
Nagaland,Mon,Naginimora,Other,Vegetables,3.0,6000,7200,6900,28 Feb 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,21 Feb 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,14 Feb 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,07 Feb 2018
Nagaland,Mon,Naginimora,Other,Vegetables,2.0,4400,5400,5000,31 Jan 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,17 Jan 2018
Nagaland,Mon,Naginimora,Other,Vegetables,2.0,4400,5400,5000,10 Jan 2018
Nagaland,Mon,Naginimora,Other,Vegetables,1.0,2500,3000,2800,08 Nov 2017
Nagaland,Mon,Naginimora,Other,Vegetables,2.0,4400,5400,5000,11 Oct 2017
Nagaland,Mon,Naginimora,Other,Vegetables,3.0,6000,7200,6900,04 Oct 2017
