State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Peren,Tenning,Other,Vegetables,0.04,2500,3500,3000,27 Oct 2023
Nagaland,Peren,Tenning,Other,Vegetables,0.05,4500,5500,5000,21 Oct 2023
Nagaland,Peren,Tenning,Other,Vegetables,2.0,5000,5200,5100,29 May 2023
Nagaland,Peren,Tenning,Other,Vegetables,4.0,7000,7300,7200,26 May 2023
Nagaland,Peren,Tenning,Other,Vegetables,2.0,5000,5200,5100,23 May 2023
Nagaland,Peren,Tenning,Other,Vegetables,2.0,5000,5200,5100,09 May 2023
Nagaland,Peren,Tenning,Other,Vegetables,3.0,7900,8200,8000,18 Nov 2022
Nagaland,Peren,Tenning,Other,Vegetables,2.0,5000,5300,5200,17 Jun 2022
Nagaland,Peren,Tenning,Other,Vegetables,2.0,5000,5300,5200,10 Jun 2022
Nagaland,Peren,Tenning,Other,Vegetables,2.0,6000,6300,6200,06 May 2022
Nagaland,Peren,Tenning,Other,Vegetables,2.0,4600,4800,4700,15 Apr 2022
