State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Phek,Phek,Other,Vegetables,0.67,6000,8000,7000,25 Jan 2024
Nagaland,Phek,Phek,Other,Vegetables,0.75,5000,7000,6000,24 Jan 2024
Nagaland,Phek,Phek,Other,Vegetables,0.32,5000,7000,6000,08 Jan 2024
Nagaland,Phek,Phek,Other,Vegetables,0.36,6000,7000,6500,14 Nov 2023
Nagaland,Phek,Phek,Other,Vegetables,0.5,4000,6000,5000,10 Nov 2023
Nagaland,Phek,Phek,Other,Vegetables,0.16,5000,7000,6000,21 Oct 2023
Nagaland,Phek,Phek,Other,Vegetables,0.5,5000,7000,6000,18 Oct 2023
Nagaland,Phek,Phek,Other,Vegetables,0.1,6000,7000,6500,17 Oct 2023
Nagaland,Phek,Phek,Other,Vegetables,0.5,5900,7000,6000,16 Oct 2023
Nagaland,Phek,Phek,Other,Vegetables,0.25,6000,8000,7000,13 Oct 2023
Nagaland,Phek,Phek,Other,Vegetables,0.23,5000,7000,6000,12 Oct 2023
Nagaland,Phek,Phek,Other,Vegetables,0.3,5000,7000,6000,11 Oct 2023
Nagaland,Phek,Phek,Other,Vegetables,0.2,5000,7000,6000,10 Oct 2023
Nagaland,Phek,Phek,Other,Vegetables,0.4,5000,7000,6000,09 Oct 2023
Nagaland,Phek,Phek,Other,Vegetables,0.1,5000,7000,6000,30 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,2.0,3000,3200,3100,27 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,1.0,2800,3000,2900,26 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,1.0,2800,3000,2900,25 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,1.0,2400,2600,2500,21 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,1.0,2300,2500,2400,16 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,1.0,2000,2200,2100,15 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,2.0,2600,2800,2700,14 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,2.0,2500,2700,2600,11 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,2.0,2300,2500,2400,08 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,2.0,2100,2300,2200,04 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,2.0,2000,2200,2100,02 Sep 2023
Nagaland,Phek,Phek,Other,Vegetables,4.0,2300,2500,2400,31 Aug 2023
Nagaland,Phek,Phek,Other,Vegetables,5.0,2600,2800,2700,30 Aug 2023
Nagaland,Phek,Phek,Other,Vegetables,4.0,2600,2800,2700,29 Aug 2023
Nagaland,Phek,Phek,Other,Vegetables,4.0,2400,2600,2500,28 Aug 2023
Nagaland,Phek,Phek,Other,Vegetables,8.0,3000,3200,3100,26 Aug 2023
Nagaland,Phek,Phek,Other,Vegetables,6.0,2800,3000,2900,25 Aug 2023
Nagaland,Phek,Phek,Other,Vegetables,8.0,3000,3200,3100,24 Aug 2023
Nagaland,Phek,Phek,Other,Vegetables,5.0,2800,3000,2900,23 Aug 2023
Nagaland,Phek,Phek,Other,Vegetables,4.0,2500,2700,2600,19 Aug 2023
