State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Tuensang,Tuensang,Other,Vegetables,2.0,5100,5400,5200,05 Dec 2023
Nagaland,Tuensang,Tuensang,Other,Vegetables,5.0,2000,2200,2100,02 Dec 2019
Nagaland,Tuensang,Tuensang,Other,Vegetables,4.0,2100,2400,2300,25 Nov 2019
Nagaland,Tuensang,Tuensang,Other,Vegetables,5.0,2000,2300,2100,18 Nov 2019
Nagaland,Tuensang,Tuensang,Other,Vegetables,4.0,2100,2400,2300,04 Nov 2019
Nagaland,Tuensang,Tuensang,Other,Vegetables,5.0,2000,2300,2100,28 Oct 2019
Nagaland,Tuensang,Tuensang,Other,Vegetables,4.0,2100,2400,2300,21 Oct 2019
Nagaland,Tuensang,Tuensang,Other,Vegetables,5.0,2000,2300,2100,14 Oct 2019
Nagaland,Tuensang,Tuensang,Other,Vegetables,2.0,2100,2400,2200,07 Oct 2019
Nagaland,Tuensang,Tuensang,Other,Vegetables,7.0,5300,5500,5400,16 Apr 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,6.0,5600,5800,5700,09 Apr 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,5.0,5900,6100,6000,26 Mar 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,6.0,5500,5700,5600,23 Mar 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,6.0,5500,5700,5600,19 Mar 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,7.0,5400,5600,5500,12 Mar 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,6.0,5600,5800,5700,05 Mar 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,8.0,5400,5700,5600,26 Feb 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,9.0,5300,5500,5400,19 Feb 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,7.0,5500,5700,5600,12 Feb 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,8.0,5300,5500,5400,05 Feb 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,9.0,5200,5400,5300,29 Jan 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,10.0,5000,5200,5100,22 Jan 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,9.0,5100,5300,5200,15 Jan 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,8.0,5200,5400,5300,08 Jan 2018
Nagaland,Tuensang,Tuensang,Other,Vegetables,6.0,5600,5800,5750,11 Sep 2017
Nagaland,Tuensang,Tuensang,Other,Vegetables,5.0,5800,6200,5950,28 Aug 2017
Nagaland,Tuensang,Tuensang,Other,Vegetables,4.0,6000,6400,6250,21 Aug 2017
Nagaland,Tuensang,Tuensang,Other,Vegetables,4.0,8000,9600,9200,13 Mar 2017
Nagaland,Tuensang,Tuensang,Other,Vegetables,2.0,4400,5400,5000,27 Feb 2017
Nagaland,Tuensang,Tuensang,Other,Vegetables,1.0,2500,3000,2800,14 Nov 2016
Nagaland,Tuensang,Tuensang,Other,Vegetables,3.0,6000,7200,6900,07 Nov 2016
Nagaland,Tuensang,Tuensang,Other,Vegetables,2.0,4400,5400,5000,31 Oct 2016
Nagaland,Tuensang,Tuensang,Other,Vegetables,2.0,4400,5400,5000,17 Oct 2016
Nagaland,Tuensang,Tuensang,Other,Vegetables,4.0,8000,9600,9200,10 Oct 2016
