State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Wokha,Baghry,Other,Vegetables,0.2,5000,7000,6000,30 Jan 2024
Nagaland,Wokha,Baghry,Other,Vegetables,0.47,4000,5000,4500,16 Jan 2024
Nagaland,Wokha,Baghry,Other,Vegetables,0.4,3500,4500,4000,14 Dec 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.38,4000,5000,4500,28 Nov 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.4,3500,4200,3800,22 Nov 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.39,3800,4500,4300,16 Nov 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.32,3500,4000,3700,03 Nov 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.36,3800,4500,4000,01 Nov 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.37,4000,4500,4200,28 Oct 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.22,3800,4400,4000,25 Oct 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.37,3600,4000,3800,20 Oct 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.24,3800,4300,4000,10 Oct 2023
Nagaland,Wokha,Baghry,Other,Vegetables,0.18,4300,4900,4500,06 Oct 2023
Nagaland,Wokha,Baghry,Other,Vegetables,2.0,6000,6500,6200,30 Sep 2023
Nagaland,Wokha,Baghry,Other,Vegetables,3.0,4600,5000,4800,20 Sep 2023
Nagaland,Wokha,Baghry,Other,Vegetables,2.0,4500,5000,4800,14 Sep 2023
Nagaland,Wokha,Baghry,Other,Vegetables,2.0,5000,5600,5200,12 Sep 2023
Nagaland,Wokha,Baghry,Other,Vegetables,4.0,4600,5000,4800,01 Sep 2023
Nagaland,Wokha,Baghry,Other,Vegetables,3.0,3800,4500,4000,28 Aug 2023
Nagaland,Wokha,Baghry,Other,Vegetables,1.0,5000,5800,5400,26 Jul 2023
Nagaland,Wokha,Baghry,Other,Vegetables,1.0,5100,5600,5400,23 May 2023
Nagaland,Wokha,Baghry,Other,Vegetables,3.0,4900,5500,5200,11 May 2023
Nagaland,Wokha,Baghry,Other,Vegetables,2.0,3200,3700,3500,04 May 2023
Nagaland,Wokha,Baghry,Other,Vegetables,7.0,4100,4500,4300,29 Apr 2023
Nagaland,Wokha,Baghry,Other,Vegetables,2.0,3600,4000,3900,21 Apr 2023
Nagaland,Wokha,Baghry,Other,Vegetables,6.0,3800,4400,4100,20 Apr 2023
Nagaland,Wokha,Baghry,Other,Vegetables,3.0,3800,4200,4100,05 Apr 2023
Nagaland,Wokha,Baghry,Other,Vegetables,4.0,3800,4300,4200,30 Mar 2023
Nagaland,Wokha,Baghry,Other,Vegetables,38.0,3200,3800,3400,23 Mar 2023
Nagaland,Wokha,Baghry,Other,Vegetables,42.0,3500,3800,3700,16 Mar 2023
Nagaland,Wokha,Baghry,Other,Vegetables,40.0,3200,3800,3500,09 Mar 2023
Nagaland,Wokha,Baghry,Other,Vegetables,44.0,3100,3500,3200,02 Mar 2023
Nagaland,Wokha,Baghry,Other,Vegetables,46.0,3000,3400,3200,23 Feb 2023
Nagaland,Wokha,Baghry,Other,Vegetables,43.0,3000,3500,3300,16 Feb 2023
Nagaland,Wokha,Baghry,Other,Vegetables,50.0,3000,3500,3300,09 Feb 2023
Nagaland,Wokha,Baghry,Other,Vegetables,62.0,3100,3600,3400,02 Feb 2023
Nagaland,Wokha,Baghry,Other,Vegetables,54.0,3000,3500,3200,27 Jan 2023
Nagaland,Wokha,Baghry,Other,Vegetables,64.0,3000,3500,3200,26 Jan 2023
Nagaland,Wokha,Baghry,Other,Vegetables,66.0,3000,3500,3200,25 Jan 2023
Nagaland,Wokha,Baghry,Other,Vegetables,50.0,3100,3500,3300,12 Jan 2023
Nagaland,Wokha,Baghry,Other,Vegetables,58.0,2500,3000,2800,05 Jan 2023
Nagaland,Wokha,Baghry,Other,Vegetables,43.0,2800,3300,3000,22 Dec 2022
Nagaland,Wokha,Baghry,Other,Vegetables,19.0,3000,3500,3200,15 Dec 2022
Nagaland,Wokha,Baghry,Other,Vegetables,16.0,3200,3600,3400,08 Dec 2022
Nagaland,Wokha,Baghry,Other,Vegetables,14.0,3400,3800,3500,01 Dec 2022
Nagaland,Wokha,Baghry,Other,Vegetables,16.0,3400,3800,3600,24 Nov 2022
Nagaland,Wokha,Baghry,Other,Vegetables,14.0,3600,4000,3800,16 Nov 2022
Nagaland,Wokha,Baghry,Other,Vegetables,9.0,3900,4400,4200,03 Nov 2022
Nagaland,Wokha,Baghry,Other,Vegetables,6.0,4000,4400,4300,27 Oct 2022
Nagaland,Wokha,Baghry,Other,Vegetables,2.0,4200,4800,4400,20 Oct 2022
Nagaland,Wokha,Baghry,Other,Vegetables,2.0,4000,4400,4100,06 Oct 2022
Nagaland,Wokha,Baghry,Other,Vegetables,38.0,3500,3800,3600,25 Feb 2021
Nagaland,Wokha,Baghry,Other,Vegetables,40.0,3400,3700,3500,18 Feb 2021
Nagaland,Wokha,Baghry,Other,Vegetables,36.0,3600,3900,3800,11 Feb 2021
Nagaland,Wokha,Baghry,Other,Vegetables,23.0,3800,4000,3900,04 Feb 2021
Nagaland,Wokha,Baghry,Other,Vegetables,19.0,3800,4100,3900,28 Jan 2021
Nagaland,Wokha,Baghry,Other,Vegetables,14.0,4000,4300,4200,21 Jan 2021
Nagaland,Wokha,Baghry,Other,Vegetables,8.0,4100,4400,4300,24 Dec 2020
Nagaland,Wokha,Baghry,Other,Vegetables,5.0,3600,4000,3800,19 Mar 2020
Nagaland,Wokha,Baghry,Other,Vegetables,4.0,3600,4000,3800,12 Mar 2020
Nagaland,Wokha,Baghry,Other,Vegetables,7.0,3500,3800,3700,05 Mar 2020
Nagaland,Wokha,Baghry,Other,Vegetables,10.0,3300,3700,3500,27 Feb 2020
Nagaland,Wokha,Baghry,Other,Vegetables,14.0,3200,3500,3300,20 Feb 2020
Nagaland,Wokha,Baghry,Other,Vegetables,18.0,3100,3500,3300,13 Feb 2020
Nagaland,Wokha,Baghry,Other,Vegetables,16.0,3200,3600,3400,08 Feb 2020
Nagaland,Wokha,Baghry,Other,Vegetables,20.0,2900,3200,3000,30 Jan 2020
Nagaland,Wokha,Baghry,Other,Vegetables,18.0,3000,3400,3200,23 Jan 2020
Nagaland,Wokha,Baghry,Other,Vegetables,16.0,3100,3500,3300,17 Jan 2020
Nagaland,Wokha,Baghry,Other,Vegetables,12.0,3200,3600,3400,09 Jan 2020
Nagaland,Wokha,Baghry,Other,Vegetables,8.0,3200,3500,3400,02 Jan 2020
Nagaland,Wokha,Baghry,Other,Vegetables,4.0,3600,3900,3800,26 Dec 2019
Nagaland,Wokha,Baghry,Other,Vegetables,11.0,4400,4700,4600,25 Apr 2019
Nagaland,Wokha,Baghry,Other,Vegetables,18.0,4200,4500,4400,18 Apr 2019
Nagaland,Wokha,Baghry,Other,Vegetables,18.0,4200,4500,4400,11 Apr 2019
Nagaland,Wokha,Baghry,Other,Vegetables,18.0,4200,4500,4400,04 Apr 2019
Nagaland,Wokha,Baghry,Other,Vegetables,28.0,4000,4300,4100,28 Mar 2019
Nagaland,Wokha,Baghry,Other,Vegetables,31.0,3800,4100,4000,21 Mar 2019
Nagaland,Wokha,Baghry,Other,Vegetables,37.0,3700,4000,3900,14 Mar 2019
Nagaland,Wokha,Baghry,Other,Vegetables,37.0,3700,4000,3900,07 Mar 2019
Nagaland,Wokha,Baghry,Other,Vegetables,41.0,3600,3900,3800,28 Feb 2019
Nagaland,Wokha,Baghry,Other,Vegetables,48.0,3500,3700,3600,21 Feb 2019
Nagaland,Wokha,Baghry,Other,Vegetables,48.0,3500,3800,3700,16 Feb 2019
Nagaland,Wokha,Baghry,Other,Vegetables,48.0,3500,3800,3700,14 Feb 2019
Nagaland,Wokha,Baghry,Other,Vegetables,63.0,3300,3600,3500,07 Feb 2019
Nagaland,Wokha,Baghry,Other,Vegetables,71.0,3200,3800,3400,31 Jan 2019
Nagaland,Wokha,Baghry,Other,Vegetables,65.0,3400,3700,3500,25 Jan 2019
Nagaland,Wokha,Baghry,Other,Vegetables,61.0,3500,3800,3600,17 Jan 2019
Nagaland,Wokha,Baghry,Other,Vegetables,63.0,3500,3700,3600,10 Jan 2019
Nagaland,Wokha,Baghry,Other,Vegetables,52.0,3600,3900,3700,03 Jan 2019
Nagaland,Wokha,Baghry,Other,Vegetables,47.0,3800,4200,4000,27 Dec 2018
Nagaland,Wokha,Baghry,Other,Vegetables,34.0,4000,4300,4100,13 Dec 2018
Nagaland,Wokha,Baghry,Other,Vegetables,31.0,4100,4400,4200,06 Dec 2018
Nagaland,Wokha,Baghry,Other,Vegetables,24.0,4200,4500,4300,29 Nov 2018
Nagaland,Wokha,Baghry,Other,Vegetables,16.0,4300,4600,4500,22 Nov 2018
Nagaland,Wokha,Baghry,Other,Vegetables,7.0,4500,4800,4700,08 Nov 2018
Nagaland,Wokha,Baghry,Other,Vegetables,11.0,4700,5000,4900,18 Oct 2018
Nagaland,Wokha,Baghry,Other,Vegetables,9.0,4800,5200,5000,11 Oct 2018
Nagaland,Wokha,Baghry,Other,Vegetables,7.0,4000,4400,4200,04 Oct 2018
Nagaland,Wokha,Baghry,Other,Vegetables,6.0,4000,4400,4200,27 Sep 2018
Nagaland,Wokha,Baghry,Other,Vegetables,3.0,4100,4500,4300,20 Sep 2018
Nagaland,Wokha,Baghry,Other,Vegetables,2.0,4000,4500,4300,13 Sep 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,15.0,3800,4200,3900,19 Apr 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,26.0,3600,4000,3800,05 Apr 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,35.0,3500,3800,3700,29 Mar 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,37.0,4400,4800,4600,22 Mar 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,50.0,3100,3500,3300,08 Mar 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,56.0,3000,3400,3300,22 Feb 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,55.0,3000,3300,3100,15 Feb 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,43.0,3300,3600,3400,25 Jan 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,31.0,3500,3900,3700,11 Jan 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,24.0,3500,3900,3700,04 Jan 2018
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,20.0,3600,4000,3800,28 Dec 2017
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,13.0,3700,4100,3900,21 Dec 2017
Nagaland,Wokha,Baghry,Yam (Ratalu),Vegetables,7.0,3800,4100,3900,14 Dec 2017
Nagaland,Wokha,Baghry,Other,Vegetables,11.0,3000,3500,3200,26 May 2016
Nagaland,Wokha,Baghry,Other,Vegetables,16.0,2800,3200,3000,19 May 2016
Nagaland,Wokha,Baghry,Other,Vegetables,21.0,2400,3000,2800,12 May 2016
Nagaland,Wokha,Baghry,Other,Vegetables,28.0,2100,2500,2300,05 May 2016
Nagaland,Wokha,Baghry,Other,Vegetables,31.0,2000,2300,2200,28 Apr 2016
Nagaland,Wokha,Baghry,Other,Vegetables,40.0,1900,2300,2100,24 Mar 2016
Nagaland,Wokha,Baghry,Other,Vegetables,41.0,1800,2200,2000,17 Mar 2016
Nagaland,Wokha,Baghry,Other,Vegetables,59.0,1700,2000,1800,10 Mar 2016
Nagaland,Wokha,Baghry,Other,Vegetables,63.0,1700,2000,1800,03 Mar 2016
Nagaland,Wokha,Baghry,Other,Vegetables,72.0,1700,2000,1800,04 Feb 2016
Nagaland,Wokha,Baghry,Other,Vegetables,56.0,1600,2000,1800,26 Nov 2015
Nagaland,Wokha,Baghry,Other,Vegetables,46.0,1600,2000,1800,19 Nov 2015
Nagaland,Wokha,Baghry,Other,Vegetables,20.0,2000,2400,2200,05 Nov 2015
Nagaland,Wokha,Baghry,Other,Vegetables,17.0,2000,2500,2200,29 Oct 2015
Nagaland,Wokha,Baghry,Other,Vegetables,13.0,2200,2500,2400,22 Oct 2015
