State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.35,4000,5000,4500,29 Jan 2024
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.3,6000,7000,6500,23 Jan 2024
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.42,4000,6000,5000,17 Jan 2024
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.3,4000,5000,4500,20 Dec 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.4,4000,5000,4500,16 Dec 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.3,4500,6000,5000,08 Dec 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.5,3800,5000,4500,06 Dec 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.35,4000,5000,4500,30 Nov 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.41,4000,5000,4500,28 Nov 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.4,3500,4500,4000,22 Nov 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.34,3000,4000,3500,20 Nov 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.44,3800,4500,4000,08 Nov 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.34,3400,4000,3600,04 Nov 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.34,3800,4300,4000,01 Nov 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.28,4000,4500,4200,28 Oct 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.32,4000,4500,4200,21 Oct 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.46,3800,4300,4000,17 Oct 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.34,3800,4300,4000,07 Oct 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.21,4700,5300,5000,04 Oct 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,0.3,3200,3900,3400,02 Oct 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,2.0,3500,4000,3700,18 Sep 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,2.0,4200,4700,4500,08 Sep 2023
Nagaland,Wokha,Wokha Town,Other,Vegetables,3.0,5200,5400,5300,06 Jun 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,3.0,5200,5300,5300,30 May 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,2.0,5400,5800,5700,23 May 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,3.0,5200,5500,5300,16 May 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,4.0,5100,5400,5200,09 May 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,3.0,5300,5700,5500,02 May 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,4.0,5200,5300,5300,25 Apr 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,5.0,5000,5200,5100,18 Apr 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,3.0,5400,5800,5600,04 Apr 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,5.0,5000,5400,5200,28 Mar 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,4.0,5300,5800,5600,21 Mar 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,5.0,5200,5500,5300,14 Mar 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,4.0,5500,5800,5700,07 Mar 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,5.0,5400,5700,5500,28 Feb 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,4.0,5800,6100,6000,21 Feb 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,5.0,5700,6000,5900,14 Feb 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,6.0,5600,6000,5800,07 Feb 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,5.0,5700,6000,5900,31 Jan 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,6.0,5600,5800,5800,24 Jan 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,7.0,5500,5700,5700,10 Jan 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,8.0,5200,5500,5400,03 Jan 2018
Nagaland,Wokha,Wokha Town,Other,Vegetables,8.0,5000,5400,5200,20 Dec 2017
Nagaland,Wokha,Wokha Town,Other,Vegetables,6.0,5300,5700,5500,13 Dec 2017
Nagaland,Wokha,Wokha Town,Other,Vegetables,7.0,5200,5400,5300,06 Dec 2017
Nagaland,Wokha,Wokha Town,Other,Vegetables,8.0,5300,5800,5500,29 Nov 2017
Nagaland,Wokha,Wokha Town,Other,Vegetables,6.0,5600,6100,5900,28 Nov 2017
Nagaland,Wokha,Wokha Town,Other,Vegetables,7.0,5600,6000,5800,15 Nov 2017
Nagaland,Wokha,Wokha Town,Other,Vegetables,8.0,5500,5700,5600,08 Nov 2017
Nagaland,Wokha,Wokha Town,Other,Vegetables,4.0,6200,6600,6400,25 Oct 2017
Nagaland,Wokha,Wokha Town,Other,Vegetables,5.0,6000,6500,6200,18 Oct 2017
