State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,0.16,3700,3900,3800,29 Nov 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,0.16,3700,3900,3800,28 Nov 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,0.15,3800,4000,3900,20 Nov 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,0.15,3900,4100,4000,18 Nov 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,0.15,4000,4200,4100,17 Nov 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,0.14,4200,4500,4300,06 Nov 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,0.13,4300,4900,4500,04 Nov 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,0.12,4200,4700,4400,03 Nov 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,13.0,5100,5300,5200,17 Mar 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,14.0,5000,5200,5100,10 Mar 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,7.0,5900,6100,6000,03 Mar 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,7.0,5900,6100,6000,24 Feb 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,6.0,6000,6200,6100,10 Feb 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,6.0,6000,6200,6100,03 Feb 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,5.0,5900,6100,6000,27 Jan 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,10.0,5300,5500,5400,13 Jan 2023
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,16.0,4900,5100,5000,02 Dec 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,16.0,4900,5100,5000,25 Nov 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,15.0,5000,5200,5100,18 Nov 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,14.0,5300,5500,5400,11 Nov 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,15.0,5200,5400,5300,04 Nov 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,16.0,5100,5300,5200,28 Oct 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,17.0,5000,5200,5100,21 Oct 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,15.0,5500,5700,5600,14 Oct 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,12.0,5900,6100,6000,07 Oct 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,8.0,6200,0,6300,19 Aug 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,9.0,6000,6200,6100,05 Aug 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,10.0,6000,6200,6100,24 Jun 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,10.0,5400,5600,5500,10 Jun 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,10.0,6000,6200,6100,27 May 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,15.0,5600,5800,5700,20 May 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,10.0,6100,6300,6200,08 Apr 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,9.0,6000,6200,6100,01 Apr 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,10.0,5900,6100,6000,25 Mar 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,9.0,6000,6200,6100,18 Mar 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,9.0,6000,6200,6100,11 Mar 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,8.0,6100,6300,6200,04 Mar 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,9.0,6000,6200,6100,25 Feb 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,10.0,5300,5500,5400,04 Feb 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,11.0,5200,5400,5300,28 Jan 2022
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,12.0,4900,5100,5000,26 Feb 2021
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,13.0,5000,5200,5100,19 Feb 2021
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,14.0,4900,5200,5000,12 Feb 2021
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,13.0,5000,5300,5200,05 Feb 2021
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,16.0,4500,4700,4600,13 Mar 2020
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,16.0,4500,4700,4600,28 Feb 2020
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,15.0,4600,4800,4700,14 Feb 2020
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,11.0,4700,4900,4800,31 Jan 2020
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,10.0,4800,5000,4900,24 Jan 2020
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,9.0,4900,5200,5000,17 Jan 2020
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,12.0,4500,4700,4600,10 Jan 2020
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,19.0,4100,4300,4200,20 Dec 2019
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,17.0,4600,4800,4700,06 Dec 2019
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,14.0,4900,5200,5000,22 Nov 2019
Nagaland,Zunheboto,Zunheboto,Other,Vegetables,11.0,5200,5400,5300,15 Nov 2019
