State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2500,3000,2500,01 Oct 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2500,3000,3000,27 Sep 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,3000,4000,3000,06 Sep 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,10.0,3000,4000,4000,30 Aug 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2500,3000,3000,06 Jul 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2500,3000,3000,02 Jul 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,40.0,2500,3000,3000,30 Jun 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,3000,3000,3000,04 Jun 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,60.0,2000,2500,2000,03 Jun 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,25.0,3000,4000,3500,17 May 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,3000,4000,4000,14 May 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,3000,3500,3000,10 May 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,40.0,2500,3000,3000,06 May 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2500,3000,3000,19 Mar 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2500,16 Mar 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,22.0,2000,2500,2000,15 Mar 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,2500,2000,08 Mar 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,25.0,2000,2500,2000,06 Mar 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,26.0,2000,2500,2500,05 Mar 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,80.0,700,1000,700,03 Mar 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,40.0,2000,2500,2000,01 Mar 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,2500,2500,27 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,2500,2500,23 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2500,22 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,2000,2500,2500,21 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,2000,2500,2500,20 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2500,3000,2500,18 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,3000,2500,17 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2500,14 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,40.0,2000,2500,2500,13 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,2500,2500,10 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2000,09 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,2500,2000,06 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,2500,2000,02 Feb 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,26.0,2500,3000,3000,30 Jan 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,2500,2500,26 Jan 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,2500,2000,23 Jan 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2000,20 Jan 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,40.0,2000,2500,2500,19 Jan 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,60.0,2000,2500,2500,16 Jan 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,3000,2500,12 Jan 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,2500,2500,10 Jan 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,19.0,2500,3000,2500,02 Jan 2020
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2500,3000,2500,31 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,60.0,2500,3000,2500,29 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,25.0,2000,3000,2500,27 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2500,3000,2500,26 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,2500,3000,2500,24 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2500,3000,3000,23 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2500,3000,2500,22 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,2500,3000,2500,21 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2500,3000,3000,19 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,2500,3000,2500,17 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,3000,2500,16 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2000,3000,2500,15 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,50.0,2500,3000,2500,12 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,40.0,2500,3000,3000,11 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,2500,3000,2500,09 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,40.0,2500,3000,2500,08 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,3000,3500,3500,05 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,3000,3500,3500,03 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,2500,4000,3000,02 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,25.0,2500,3000,3000,01 Dec 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,25.0,2000,2500,2000,28 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,2000,3000,2500,26 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2500,3000,3000,25 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,30.0,2500,3000,3000,24 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2500,22 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2500,21 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,17.0,2000,3000,2500,19 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,3000,2500,18 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,2000,2600,2500,17 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,2000,3000,3000,15 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2000,3000,2000,14 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,3500,3500,3500,12 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,3000,3500,3000,11 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,3000,3500,3500,10 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2500,3000,2500,08 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,2000,2500,2500,07 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2000,3000,2500,06 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,50.0,2000,3000,2500,05 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,2000,2500,2500,04 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,2500,3000,2500,03 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,13.0,2500,3000,2500,02 Nov 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,2000,3000,2500,31 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2500,3000,3000,29 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,2500,3000,2500,28 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,2500,3000,2500,27 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2500,3000,3000,26 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2500,3000,3000,25 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,2500,3000,2500,24 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,2500,3500,3000,22 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,2500,3500,3000,21 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2500,3000,2500,20 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,50.0,3000,4000,3000,19 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,17.0,3500,4000,4000,18 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,3500,4000,4000,17 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,3000,4000,3000,16 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,2500,3000,2500,15 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2500,14 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,22.0,2500,3000,3000,13 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,3000,3500,3500,07 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,23.0,2500,3000,3000,06 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,3000,3000,3000,01 Oct 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2500,3000,2500,30 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2000,3000,2500,29 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,27 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,3000,2500,25 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,3000,2500,23 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,3000,2500,22 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,100.0,2500,3000,2500,21 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,3000,2500,20 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,18.0,3000,3500,3000,19 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2000,2500,2000,15 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,13 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2000,12 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,2500,3000,3000,11 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2500,3000,2500,10 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,3000,3500,3000,09 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,40.0,3000,3500,3000,06 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,3500,4000,4000,04 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,3500,4000,4000,03 Sep 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,9.0,3500,4000,3500,30 Aug 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,40.0,4000,4000,4000,22 Aug 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,4000,4000,4000,16 Jun 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2500,3000,2500,13 Jun 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,13.0,2500,3000,2500,02 May 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,11.0,2000,2500,2500,29 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,13.0,2500,3000,3000,26 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2500,3000,2500,23 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,21 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2500,3000,2500,19 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,3000,4000,3000,14 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,15.0,2500,3000,2500,11 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,3000,2500,09 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2500,3000,2500,08 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,04 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,02 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,2000,3000,2000,01 Apr 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,10.0,2000,3000,2000,30 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2200,2500,2200,28 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,3000,2000,25 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2000,3000,2000,22 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,2000,3000,2000,18 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,10.0,4000,4000,4000,14 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,3000,4000,3000,08 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2500,3000,2500,05 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2500,4000,3000,04 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,10.0,3000,4000,3000,01 Mar 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,14.0,3000,4000,3000,28 Feb 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,3000,4000,3000,25 Feb 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,13.0,2000,2500,2000,22 Feb 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2000,17 Feb 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,14 Feb 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,13.0,2500,3000,2500,10 Feb 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,3000,2500,07 Feb 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,3000,3000,03 Feb 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,3000,2000,31 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,16.0,2000,2500,2000,24 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,11.0,2500,2500,2500,22 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,13.0,2500,3000,3000,21 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,13.0,2000,2500,2000,17 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,15 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,13 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,12 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,20.0,2000,2500,2500,10 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2500,06 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2000,04 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2500,3000,3000,01 Jan 2019
Odisha,Cuttack,Kendupatna,Other,Vegetables,11.0,2500,3000,3000,30 Dec 2018
Odisha,Cuttack,Kendupatna,Other,Vegetables,12.0,2000,2500,2500,25 Dec 2018
Odisha,Cuttack,Kendupatna,Other,Vegetables,10.0,2000,2000,2000,20 Dec 2018
Odisha,Cuttack,Kendupatna,Other,Vegetables,1.0,2000,2500,2000,16 Dec 2018
Odisha,Cuttack,Kendupatna,Other,Vegetables,10.0,2000,2000,2000,12 Dec 2018
Odisha,Cuttack,Kendupatna,Other,Vegetables,0.9,2000,2500,2000,07 Dec 2018
Odisha,Cuttack,Kendupatna,Other,Vegetables,10.0,2000,2000,2000,06 Dec 2018
