State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,12000,13000,12500,08 May 2020
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,2200,2500,2300,14 Jan 2020
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,12000,13000,12500,30 Dec 2019
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7500,8500,8000,07 Dec 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,8500,9000,9000,29 Nov 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,8500,9000,8800,25 Nov 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7500,8000,7800,03 Nov 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,9000,10000,9500,28 Oct 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,9000,9500,9500,24 Oct 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,12000,14000,13000,09 Oct 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6500,7000,7000,20 Sep 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7500,8000,8000,07 Sep 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6000,7000,6500,25 Jul 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,9000,10000,9500,20 Jul 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,8000,8500,8200,07 Jul 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6500,7000,6800,08 Jun 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6500,7000,6800,17 May 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7000,7500,7200,30 Apr 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,5500,6000,6000,01 Mar 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6500,7000,6800,27 Feb 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,5500,6000,6000,03 Feb 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.15,5500,6500,6000,18 Jan 2017
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.2,5500,6000,6000,19 Dec 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,4500,5500,5000,17 Dec 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.2,5000,5500,5200,29 Nov 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.2,4500,5000,4800,22 Nov 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,5000,5500,5200,20 Nov 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7500,8500,8000,12 Nov 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6500,7000,6800,04 Nov 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7000,7500,7200,20 Oct 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7500,8000,8000,26 Sep 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6500,7500,7000,20 Sep 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6500,7000,7000,18 Aug 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6500,7000,7000,12 Aug 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7000,7500,7500,27 Jul 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7500,8000,8000,22 Jul 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7000,8000,8000,08 Jul 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7500,8000,8000,18 Jun 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7000,7500,7500,08 Jun 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.2,7500,8000,8000,03 Jun 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7000,8000,7500,28 May 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7000,7500,7500,13 May 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,8000,8500,8500,09 May 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7500,8000,8000,28 Apr 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,9000,10000,10000,23 Apr 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,8000,9000,9000,19 Apr 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.2,8000,9000,9000,12 Apr 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,6000,7000,7000,08 Apr 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.3,4000,4500,4500,30 Mar 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,9000,10000,10000,28 Mar 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,7000,8000,8000,10 Mar 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,8000,10000,9000,15 Feb 2016
Odisha,Kalahandi,Kesinga,Other,Vegetables,0.1,8000,9000,9000,09 Nov 2015
