State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,22 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,21 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,450,550,500,20 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,350,450,400,19 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,18 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,500,600,500,17 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,500,600,500,16 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,500,550,500,15 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,14 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,13 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.3,550,650,600,12 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,11 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.3,550,650,600,10 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,09 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.5,550,650,600,08 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,07 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,350,450,400,06 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.3,550,650,600,05 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,04 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.2,550,650,600,03 Jan 2006
Odisha,Kandhamal,Tikabali,Other,Vegetables,0.5,550,650,600,02 Jan 2006
