State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.2,2950,3200,3000,04 Jul 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.29,3200,3500,3300,02 Jul 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.16,2800,3200,3000,01 Jul 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.15,3000,3500,3200,30 Jun 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.2,2400,2500,2450,27 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,23.0,2100,2300,2200,26 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.22,2310,2400,2340,25 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.21,2200,2300,2250,24 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.21,2300,2410,2390,15 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.24,2200,2300,2250,14 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.21,2300,2500,2400,13 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.2,2250,2340,2285,12 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.23,2200,2300,2240,11 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.2,2100,2200,2150,10 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.18,2150,2240,2200,09 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.19,2100,2200,2150,08 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.25,2000,2100,2050,07 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.24,2000,2100,2050,06 May 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.3,1800,1900,1840,07 Apr 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.26,1700,1800,1755,06 Apr 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.2,1700,1800,1750,05 Apr 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.16,1700,1800,1745,04 Apr 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.3,1700,1900,1800,30 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.21,1700,1900,1745,29 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.2,1700,1900,1800,28 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.21,1680,1920,1810,25 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.16,1700,1900,1800,24 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.23,1750,1850,1800,19 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.23,1820,1920,1875,15 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.23,1755,1950,1890,11 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.31,1900,2000,1945,10 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.22,1750,1890,1800,09 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.23,1795,1860,1800,08 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.21,1800,1875,1815,07 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.19,1850,1945,1900,06 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.25,1800,1900,1845,05 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.2,1845,1905,1875,04 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.25,1780,1890,1800,03 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.31,1750,1850,1805,02 Mar 2012
Odisha,Mayurbhanja,Betnoti,Other,Vegetables,0.29,1855,1980,1890,01 Mar 2012
