State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,4200,4500,4300,30 Dec 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,4000,4500,4200,29 Dec 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,4500,5000,4800,26 Dec 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,4500,5000,4800,22 Dec 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,4000,5000,4500,21 Dec 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,4000,5000,4500,20 Dec 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,4000,4500,4200,29 Sep 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,4000,5000,4500,25 Sep 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,3000,3500,3200,07 Mar 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,3200,3500,3300,01 Mar 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,3200,3600,3500,28 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,3500,3500,3500,27 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,4000,4000,4000,22 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3500,3200,17 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3500,3200,16 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3500,3200,15 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3500,3200,14 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3300,3200,13 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,11 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3500,3200,10 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3300,3200,09 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,3000,3500,3200,08 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,2800,3200,3000,07 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3500,3200,06 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3500,3200,04 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3500,3200,02 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3300,3200,01 Feb 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,3000,3500,3200,31 Jan 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,3200,3500,3300,30 Jan 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3500,4000,3800,28 Jan 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,4200,5000,4500,27 Jan 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.1,4000,4500,4200,25 Jan 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3500,3200,24 Jan 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3300,3200,23 Jan 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3300,3200,21 Jan 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,3000,3000,3000,20 Jan 2023
Punjab,Fatehgarh,Bassi Pathana,Yam (Ratalu),Vegetables,0.2,2800,3000,2900,16 Jan 2023
