State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,152.0,600,800,700,04 Sep 2004
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,142.0,700,900,800,03 Sep 2004
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,148.0,500,600,550,01 Sep 2004
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.22,400,400,400,07 Oct 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.05,400,500,450,06 Oct 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.25,400,500,450,03 Oct 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.03,300,500,400,02 Oct 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.1,400,500,450,01 Oct 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.11,400,500,450,27 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.15,400,500,450,26 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.12,400,500,450,25 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.11,300,500,400,24 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.33,400,500,450,23 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.08,400,600,500,22 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.21,400,600,500,20 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.15,400,600,500,19 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.1,300,500,400,18 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.01,400,500,450,17 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.12,400,500,450,16 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.26,400,600,500,15 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.35,400,600,500,13 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.18,400,600,500,12 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.21,400,500,450,11 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.28,400,500,450,10 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.32,400,600,500,09 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.15,400,600,500,08 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.11,400,500,450,06 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.08,400,500,450,05 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.09,500,600,550,04 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.19,400,600,500,03 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.6,300,500,400,02 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.28,300,500,400,01 Sep 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.35,300,400,350,30 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.26,400,600,500,29 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.19,400,600,500,28 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.06,400,600,500,27 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.23,300,500,400,26 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.42,400,600,500,25 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.27,400,500,450,23 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.35,400,500,450,22 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.29,400,500,450,21 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.28,300,500,400,20 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.34,300,500,400,19 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.21,400,500,450,18 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.55,400,600,500,16 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.23,400,600,500,15 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.62,400,600,500,14 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.17,400,600,500,13 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.07,400,700,550,12 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.23,400,700,550,11 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.3,500,700,600,09 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.32,500,700,600,08 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.16,500,700,600,07 Aug 2003
Punjab,Hoshiarpur,Mukerian,Other,Vegetables,0.29,400,600,500,06 Aug 2003
