State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,6000,7000,6500,01 Feb 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,2.0,6000,6500,6200,31 Jan 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,2.0,5500,6000,5800,27 Jan 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,2.0,6000,6500,6200,25 Jan 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,2.0,6000,6500,6200,24 Jan 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,5000,6000,5500,21 Jan 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,2.0,5000,6000,5500,20 Jan 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4500,5000,4800,19 Jan 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4500,5000,4800,17 Jan 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4500,5000,4800,16 Jan 2024
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,2.0,4500,5000,4800,30 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4500,5000,4800,29 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4500,5000,4800,28 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,5000,5500,5200,27 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,5000,6000,5500,23 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,5000,6000,5500,22 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,5000,5500,5200,21 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,2.0,5000,6000,5500,20 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,5000,6000,5500,19 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,5000,6000,5500,18 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,5000,6000,5500,17 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,2.0,5000,6000,5500,14 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,5000,6000,5500,13 Dec 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4000,5000,4500,15 Mar 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4500,5000,4800,13 Mar 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4000,5000,4500,10 Mar 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4000,5000,4500,09 Mar 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4000,4500,4200,06 Mar 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4000,5000,4500,27 Feb 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4000,5000,4500,23 Feb 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4000,5000,4500,22 Feb 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4500,5000,4800,21 Feb 2023
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.0,4500,5000,4800,20 Feb 2023
