State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.05,1800,2200,2000,30 Jan 2023
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.05,3200,3200,3200,29 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.1,1800,2000,1900,21 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.15,2000,2500,2250,20 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.15,2000,2200,2100,19 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.1,2000,2500,2250,16 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.2,2000,2500,2250,15 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.15,2000,2500,2250,13 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.2,2000,2200,2100,12 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,2000,2200,2100,10 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.25,2000,2200,2100,09 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.2,2000,2200,2100,08 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,2000,2200,2100,06 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.35,2000,2200,2100,05 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.15,2000,2200,2100,03 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.11,2000,2100,2050,02 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.5,1800,2200,2000,01 Mar 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.7,2000,2200,2100,27 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.4,2000,2500,2250,26 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.5,2000,2000,2000,24 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.57,2000,2200,2100,23 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.58,2000,2500,2250,22 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.45,2000,2200,2100,21 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.5,2000,2500,2250,13 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.6,2000,2500,2250,12 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.5,2000,2500,2250,11 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.52,2000,2500,2250,10 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.75,1800,2000,1900,09 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.66,1800,2000,1900,08 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.35,2000,2500,2250,07 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.15,1800,2000,1900,02 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.14,1800,2000,1900,01 Feb 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.15,1800,2000,1900,31 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.25,1800,2000,1900,30 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.65,1500,2000,1750,28 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.45,1800,2200,2000,27 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.35,1500,1800,1650,26 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,2200,2500,2350,25 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.69,2200,2500,2350,23 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,1500,1800,1650,22 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.25,1600,1800,1700,20 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,1500,2000,1750,19 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.2,1800,2000,1900,18 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.35,2000,2500,2250,17 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.65,2000,2500,2250,16 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.4,2000,2200,2100,14 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.35,1500,2000,1750,12 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,1600,2000,1800,11 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.72,1800,2200,2000,08 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.55,1800,2200,2000,07 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.2,1800,2000,1900,06 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,1800,2000,1900,05 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,2000,2500,2250,04 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,2000,2500,2250,03 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.4,2000,2200,2100,02 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.45,2000,2500,2250,01 Jan 2022
Punjab,Patiala,Rajpura,Yam (Ratalu),Vegetables,0.3,2100,2500,2350,25 Feb 2020
