State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,01 Mar 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,28 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,27 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,25 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,23 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,22 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,21 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,20 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,18 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,15 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,13 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,11 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,07 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,03 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,02 Feb 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,30 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2000,3000,2500,27 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2000,3000,2500,26 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,25 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,24 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,21 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,13 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,11 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.3,2500,3000,2800,10 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,09 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2500,3000,2800,07 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2200,2500,2300,05 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2100,2500,2300,04 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2200,2500,2300,03 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,02 Jan 2023
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,31 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,30 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.3,2200,2500,2300,29 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2500,3000,2600,28 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,27 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,26 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,24 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2000,3000,2500,23 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2000,3000,2500,22 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,20 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,19 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,17 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,16 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,15 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,14 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,13 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2200,2500,2300,12 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2200,2500,2300,10 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2200,2500,2300,08 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2100,2500,2300,07 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2100,2500,2300,06 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2200,2500,2300,01 Dec 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2200,2500,2300,30 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2500,3000,2800,29 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2200,2500,2300,28 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.4,2600,3000,2800,26 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.3,2600,3000,2800,25 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,24 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,23 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,22 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.4,2200,2500,2300,21 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.3,2100,2500,2300,19 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.3,2200,2500,2300,18 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,1600,2000,1800,17 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,16 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,15 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,12 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,11 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,10 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2200,2500,2300,09 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2200,2500,2300,08 Nov 2022
Punjab,Ropar (Rupnagar),Morinda,Yam (Ratalu),Vegetables,0.2,2200,2500,2300,07 Nov 2022
