State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.4,2700,2800,2700,11 Sep 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.2,2700,2800,2800,10 Sep 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.23,2500,2500,2500,06 Sep 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.6,2700,2700,2700,05 Sep 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.18,2500,3000,3000,04 Sep 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.11,3000,3000,3000,28 Aug 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.2,2000,2000,2000,26 Aug 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,3000,3000,3000,23 Aug 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,2900,3000,2900,21 Aug 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.17,2500,2500,2500,20 Aug 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,3000,3000,3000,16 Aug 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,3000,3000,3000,11 Aug 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,2800,3000,3000,10 Aug 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,2000,2000,2000,03 Aug 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,0,2500,17 Jul 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.2,0,2500,0,12 Jul 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.3,0,2500,0,08 Jul 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,2000,0,28 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.15,0,2000,0,21 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,2000,0,19 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,2500,0,18 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,2000,0,17 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,2000,0,16 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,2000,0,14 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.15,0,3000,0,08 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,3000,0,07 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,3000,0,04 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,2700,0,02 Jun 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,2700,2700,2700,30 May 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.15,0,2500,0,27 May 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,2500,0,25 May 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.2,0,4000,0,20 May 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.15,0,2500,0,12 May 2014
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.1,0,6500,0,29 Nov 2013
