State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Tarntaran,Patti,Other,Vegetables,1.8,1000,1500,1300,03 May 2021
Punjab,Tarntaran,Patti,Other,Vegetables,2.0,1000,1800,1400,12 Aug 2019
Punjab,Tarntaran,Patti,Other,Vegetables,2.0,700,1000,900,11 Aug 2019
Punjab,Tarntaran,Patti,Other,Vegetables,2.0,600,1000,800,10 Aug 2019
Punjab,Tarntaran,Patti,Other,Vegetables,2.4,800,1000,900,09 Aug 2019
Punjab,Tarntaran,Patti,Other,Vegetables,2.5,600,1000,800,08 Aug 2019
Punjab,Tarntaran,Patti,Other,Vegetables,3.1,400,600,500,07 Aug 2019
Punjab,Tarntaran,Patti,Other,Vegetables,3.15,500,600,550,06 Aug 2019
Punjab,Tarntaran,Patti,Other,Vegetables,3.2,400,600,500,05 Aug 2019
Punjab,Tarntaran,Patti,Other,Vegetables,2.1,400,600,500,04 Aug 2019
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,250,275,0,27 Dec 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,275,300,0,23 Dec 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,200,300,0,20 Dec 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,300,375,0,19 Dec 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,200,300,0,18 Dec 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,200,300,0,17 Dec 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,350,400,0,16 Dec 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,200,300,0,15 Dec 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,350,400,0,13 Dec 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,400,500,475,03 Sep 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,400,500,450,02 Sep 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,400,500,475,01 Sep 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,400,500,475,30 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,450,500,475,28 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,350,400,375,19 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,250,300,275,18 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,300,400,375,16 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,250,375,300,11 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,200,400,375,09 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,200,325,275,08 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,375,400,380,07 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,300,325,310,06 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,400,500,475,05 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,350,400,375,04 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.4,350,400,375,02 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.5,300,350,325,01 Aug 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,350,400,375,31 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,400,450,425,30 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,275,300,300,29 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,300,400,325,28 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,300,350,325,26 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,300,350,325,25 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,300,350,335,24 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,450,500,475,23 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,300,350,325,22 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,350,400,375,21 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,300,350,325,19 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.5,325,375,350,18 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,350,350,350,17 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.6,200,250,225,16 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.5,250,300,275,15 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,375,375,375,14 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.4,325,325,325,12 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,200,200,200,11 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.4,300,400,350,10 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.5,350,400,375,09 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,350,425,400,08 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.4,300,350,325,07 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,350,400,375,03 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,350,400,375,02 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,400,450,425,01 Jul 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,350,400,375,30 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.4,300,375,325,26 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,350,400,375,25 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,400,500,450,24 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.4,350,400,375,23 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,300,375,350,21 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,350,400,375,20 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.4,350,400,375,19 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.3,350,500,400,18 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.2,300,350,325,17 Jun 2003
Punjab,Tarntaran,Patti,Other,Vegetables,0.1,300,350,325,16 Jun 2003
