State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1000,1200,1100,31 Dec 2005
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.3,1000,1200,1100,07 Nov 2005
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.1,1600,1800,1700,16 Dec 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.3,1400,1800,1600,14 Dec 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1500,1700,1600,08 Dec 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1500,1700,1600,07 Dec 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.3,1500,1900,1700,06 Dec 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1200,1500,1400,05 Dec 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1300,1500,1400,03 Dec 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1300,1500,1400,02 Dec 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1300,1500,1400,01 Dec 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1200,1500,1350,29 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1100,1500,1350,28 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1100,1500,1300,27 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1000,1500,1250,26 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.3,1000,1200,1100,25 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1000,1200,1100,24 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1000,1500,1300,23 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.3,1300,1500,1400,22 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1400,1800,1600,21 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.3,1200,1500,1400,20 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.3,1200,1400,1300,19 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.3,1200,1600,1400,18 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.3,1200,1600,1400,17 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1200,1500,1300,16 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1000,1400,1200,15 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1000,1200,1100,14 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1200,1400,1300,13 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1400,1600,1500,12 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.2,1500,1600,1550,09 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.1,1400,1500,1450,08 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.1,1400,1600,1500,07 Nov 2006
Rajasthan,Chittorgarh,Chittorgarh,Other,Vegetables,0.1,1500,1700,1600,06 Nov 2006
