State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.8,1400,1600,1500,05 Feb 2017
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.7,1500,1700,1600,02 Feb 2017
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.5,1400,1600,1500,29 Jan 2017
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.6,1400,1500,1450,27 Jan 2017
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.5,1500,2000,1750,11 Jan 2017
Rajasthan,Kota,Kota (FV),Other,Vegetables,1.3,1000,1400,1200,10 Jan 2017
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.3,1400,1600,1500,29 Dec 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.5,1400,1600,1500,21 Dec 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.4,1400,1600,1500,20 Dec 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.5,1200,1300,1250,19 Dec 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.4,1200,1500,1350,06 Dec 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.6,2400,2600,2500,05 Dec 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.3,1800,2000,1900,25 Nov 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.2,1800,2000,1900,21 Nov 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.3,1800,2000,1900,20 Nov 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.3,1800,2000,1900,19 Nov 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.3,1800,2000,1900,18 Nov 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.3,2500,2700,2600,17 Nov 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.6,1500,2000,1750,09 Nov 2016
Rajasthan,Kota,Kota (FV),Other,Vegetables,0.8,2400,2500,2450,09 Dec 2015
