State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Telangana,Hyderabad,Bowenpally,Other,Vegetables,0.2,800,1200,1100,31 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,11.5,1000,1500,1300,29 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,1.0,800,1300,1100,28 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,11.6,800,1500,1200,26 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,14.3,1000,1500,1300,25 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,0.3,1000,1500,1300,24 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.5,1000,1500,1300,23 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.0,1000,1500,1300,22 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,0.5,1000,1800,1600,19 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,0.5,800,1000,900,18 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.3,1000,1500,1300,17 Dec 2018
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.0,500,1500,1200,31 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.3,1000,1500,1300,30 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,14.0,1000,1500,1300,29 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,0.3,800,1300,1200,28 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,11.5,800,1500,1200,27 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,0.2,500,1300,1000,14 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,6.5,1000,1800,1600,12 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.0,1000,1500,1300,07 Dec 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.7,1000,1800,1600,23 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,10.9,1000,1600,1500,22 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,8.5,1000,1800,1600,21 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.4,1000,1800,1600,15 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,2.9,1000,1500,1300,14 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.0,1000,1800,1600,13 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,9.6,1000,1800,1600,12 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,15.0,1000,2000,1600,11 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,8.5,1000,2000,1800,10 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,20.6,1000,2000,1800,09 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.6,1000,1800,1600,08 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,11.2,800,2200,1800,07 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,5.4,1000,1800,1600,06 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,7.3,1000,2200,1800,02 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,15.3,500,2300,2000,01 Nov 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,4.1,800,2200,1800,30 Oct 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,2.4,1000,2500,2000,29 Oct 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,11.3,1000,2400,2200,26 Oct 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,1.8,1000,1500,1300,24 Oct 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,1.5,500,1500,1200,23 Oct 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,16.4,1000,2000,1800,22 Oct 2019
Telangana,Hyderabad,Bowenpally,Other,Vegetables,3.0,500,1500,1200,21 Oct 2019
