State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,0.95,5500,5500,5500,01 Feb 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.6,5500,5500,5500,31 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.3,5500,5500,5500,29 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.5,5000,5000,5000,27 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.4,5000,5000,5000,25 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.25,5000,5000,5000,24 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.6,5300,5300,5300,23 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.3,5500,5500,5500,21 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.3,5500,5500,5500,20 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.7,5000,5000,5000,13 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,0.8,5000,5000,5000,10 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,0.6,5500,5500,5500,08 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.1,5000,5000,5000,03 Jan 2024
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.0,4500,4500,4500,25 Dec 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,2.0,5000,5000,5000,16 Dec 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.1,4500,4500,4500,07 Dec 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.1,5000,5000,5000,06 Dec 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.2,5000,5000,5000,05 Dec 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.4,5000,5000,5000,04 Dec 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.3,4500,4500,4500,28 Nov 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.0,4500,4500,4500,27 Nov 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.3,5000,5000,5000,25 Nov 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.5,5500,5500,5500,15 Nov 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,0.7,5000,5000,5000,09 Nov 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,1.0,5000,5000,5000,08 Nov 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,0.9,5300,5300,5300,04 Nov 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,0.8,5000,5000,5000,02 Nov 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,0.6,4500,4500,4500,26 Oct 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,0.75,5000,5000,5000,25 Oct 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,2.3,5000,5000,5000,10 Oct 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,2.6,5000,5000,5000,09 Oct 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,4500,4500,4500,17 Aug 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,3500,3500,3500,12 Aug 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.6,4000,4000,4000,10 Aug 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.4,3500,3500,3500,09 Aug 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,3500,3500,3500,08 Aug 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,4500,4500,4500,06 Aug 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,3500,3500,3500,02 Aug 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.1,4500,4500,4500,01 Aug 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,2800,2800,2800,27 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,2800,2800,2800,26 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,2800,2800,2800,25 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,5.5,3500,3500,3500,23 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,2800,2800,2800,20 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,2800,2800,2800,19 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,4500,4500,4500,18 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,4500,4500,4500,17 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,3500,3500,3500,16 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,3500,3500,3500,15 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,4000,4000,4000,13 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,4000,4000,4000,12 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,450.0,2600,2600,2600,11 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,3500,3500,3500,08 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,4000,4000,4000,05 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,2800,2800,2800,04 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,4000,4000,4000,03 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,4000,4000,4000,02 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,2300,2300,2300,01 Jul 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,4500,4500,4500,25 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,3500,3500,3500,17 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,3500,3500,3500,15 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,3500,3500,3500,14 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,4500,4500,4500,13 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,4000,4000,4000,12 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,4000,4000,4000,11 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,4000,4000,4000,10 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,4500,4500,4500,08 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,4000,4000,4000,07 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,3500,3500,3500,06 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,2800,2800,2800,03 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,2.5,4500,4500,4500,01 Jun 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.0,5000,5000,5000,31 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,4500,4500,4500,27 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,3500,3500,3500,24 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,5300,5300,5300,22 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,4000,4000,4000,20 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,3500,3500,3500,18 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,5500,5500,5500,17 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,5500,5500,5500,16 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,5500,5500,5500,15 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,5500,5500,5500,14 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,5300,5300,5300,11 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,5300,5300,5300,10 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,5300,5300,5300,09 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,5300,5300,5300,08 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.0,5300,5300,5300,07 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,2.5,5000,5000,5000,04 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,5000,5000,5000,03 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,3.5,5000,5000,5000,02 May 2023
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,4.5,5000,5000,5000,01 May 2023
