State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.6,1500,1500,1500,31 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.8,1800,1800,1800,30 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.6,1500,1500,1500,28 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.8,1300,1300,1300,27 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,1.2,1500,1500,1500,26 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.8,1500,1500,1500,25 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.8,1500,1500,1500,24 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.9,1500,1500,1500,23 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.8,1400,1400,1400,21 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.8,1300,1300,1300,20 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,1.4,1300,1300,1300,19 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,1.2,1400,1400,1400,18 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,1.2,1300,1300,1300,17 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.8,1500,1500,1500,16 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.6,1600,1600,1600,14 Dec 2021
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Other,Vegetables,0.6,1500,1500,1500,13 Dec 2021
