State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1800,1800,1800,18 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1600,1600,1600,17 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.2,1700,1700,1700,16 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.1,2400,2400,2400,14 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.2,1500,1500,1500,13 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1500,1500,1500,12 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1600,1600,1600,11 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1700,1700,1700,10 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.2,1900,1900,1900,09 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.1,1500,1500,1500,07 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.4,1600,1600,1600,06 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1800,1800,1800,04 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1300,1300,1300,02 Sep 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.2,1500,1500,1500,31 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.2,1600,1600,1600,30 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.5,1600,1600,1600,29 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,2000,2000,2000,28 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1800,1800,1800,27 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.2,1600,1600,1600,26 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.2,2000,2000,2000,24 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.2,1500,1500,1500,23 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1800,1800,1800,22 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1500,1500,1500,21 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.4,1800,1800,1800,20 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1900,1900,1900,19 Aug 2021
Telangana,Ranga Reddy,"Kukatpally,RBZ",Other,Vegetables,0.3,1300,1300,1300,17 Aug 2021
