State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.3,1500,1500,1500,31 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.4,1800,1800,1800,30 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.4,1500,1500,1500,29 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.4,1300,1300,1300,27 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.5,1500,1500,1500,26 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.6,1500,1500,1500,25 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.6,1500,1500,1500,24 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.4,1500,1500,1500,23 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.6,1300,1300,1300,19 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.3,1400,1400,1400,18 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.1,1300,1300,1300,17 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.5,1500,1500,1500,16 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.3,1500,1500,1500,15 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.8,200,2000,2000,13 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.4,1500,1500,1500,11 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.5,1500,1500,1500,10 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.5,1300,1300,1300,09 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.2,1500,1500,1500,08 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.2,1600,1600,1600,05 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.3,1500,1500,1500,04 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.2,1500,1500,1500,03 Dec 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.6,1500,1500,1500,28 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.4,1600,1600,1600,27 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.7,1300,1300,1300,25 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.6,1500,1500,1500,24 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.9,1300,1300,1300,21 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.9,160,1600,1600,19 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.5,1100,1100,1100,13 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.2,1600,1600,1600,11 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.5,1600,1600,1600,10 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.6,1600,1600,1600,08 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.4,1800,1800,1800,07 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.2,1500,1500,1500,05 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.5,1300,1300,1300,04 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.3,1500,1500,1500,03 Nov 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.4,1300,1300,1300,30 Oct 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.5,1500,1500,1500,29 Oct 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.4,1300,1300,1300,28 Oct 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.7,1500,1500,1500,25 Oct 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.3,1500,1500,1500,23 Oct 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.2,1300,1300,1300,20 Oct 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.3,1500,1500,1500,18 Oct 2021
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,0.2,1300,1300,1300,16 Oct 2021
