State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4000,4500,4250,31 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3500,4000,3750,30 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3500,4000,3750,29 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3000,3500,3250,28 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,5500,6000,5750,27 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4500,5000,4750,22 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4500,5000,4750,21 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3500,4000,3750,20 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4500,5000,4750,19 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4500,5000,4750,18 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4500,5000,4750,17 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4500,5000,4750,16 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.4,4500,5000,4750,15 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.4,3500,4000,3750,14 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4000,4500,4250,12 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4000,4500,4250,11 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4000,4500,4250,10 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,07 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3500,4000,3750,06 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3500,4000,3750,04 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.3,3500,4000,3750,03 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,02 Dec 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.4,2500,3000,2750,30 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3000,3500,3250,29 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3000,3500,3250,27 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.3,3500,4000,3750,26 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.3,3000,3500,3250,23 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.3,2500,3000,2750,21 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,20 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,19 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2500,3000,2750,18 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2500,3000,2750,17 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3000,3500,3250,16 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3500,4000,3750,12 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3500,4000,3750,11 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.3,4000,4500,4250,09 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3500,4000,3750,07 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,06 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3500,4000,3750,05 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,04 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.3,3500,4000,3750,01 Nov 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.4,3500,4000,3750,31 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3500,4000,3750,30 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3500,4000,3750,29 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3500,4000,3750,28 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4000,4500,4250,27 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.3,3500,4000,3750,26 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3500,4000,3750,21 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3500,4000,3750,20 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3500,4000,3750,19 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,4000,4500,4250,14 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,4500,5000,4750,12 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3200,3500,3350,11 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3500,4000,3750,09 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.5,4000,4500,4250,08 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.4,4500,5000,4750,07 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3000,3500,3250,06 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3200,3400,3300,05 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3000,3200,3100,04 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3000,3200,3100,03 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2800,3000,2900,02 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2800,3000,2900,01 Oct 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,30 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,28 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,27 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.3,3000,3500,3250,26 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3600,4000,3800,25 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,4500,5000,4750,24 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2500,3000,2750,23 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3000,3500,3250,21 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2600,3000,2800,20 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3000,3500,3200,19 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3200,3500,3350,12 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,11 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2600,3000,2800,10 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3200,3400,3300,08 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3200,3500,3350,07 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3200,3500,3350,05 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2800,3000,2900,04 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3600,4000,3800,03 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3600,4000,3800,02 Sep 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.7,2400,2600,2500,31 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3200,3500,3350,30 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3200,3600,3400,29 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3200,3600,3400,27 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2800,3000,2900,26 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3000,3500,3250,25 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2800,3000,2900,24 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3600,4000,3800,23 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3600,4000,3800,22 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2800,3000,2900,21 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3600,4000,3800,20 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2800,3000,2900,19 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3600,4000,3800,18 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2800,3000,2900,17 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3000,3500,3250,16 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3600,4000,3800,15 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.5,2600,3000,2800,14 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2200,2500,2350,13 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2800,3000,2900,12 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,3600,4000,3800,11 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,4000,4500,4250,10 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,4500,5000,4750,09 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,3600,4000,3800,08 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.1,2000,2500,2250,06 Aug 2023
Telangana,Warangal,Warangal,Yam (Ratalu),Vegetables,0.2,2200,2500,2350,05 Aug 2023
