State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,4.0,950,1050,1000,08 Sep 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,1950,2050,2000,08 Aug 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,1.0,1950,2040,2000,05 Aug 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,1900,2040,2000,04 Aug 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,3.0,1950,2048,2000,03 Aug 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,1950,2050,2000,02 Aug 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,1400,1535,1500,28 Jul 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,1400,1545,1500,27 Jul 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,750,835,800,21 Jul 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,750,825,800,20 Jul 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,1.0,750,850,800,19 Jul 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,1550,1650,1600,17 Jul 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,1950,2045,2000,13 Jul 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,3.0,1450,1540,1500,11 Jul 2018
Uttar Pradesh,Jalaun (Orai),Jalaun,Yam (Ratalu),Vegetables,2.0,1950,2040,2000,10 Jul 2018
