State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,1.29,500,600,600,21 Sep 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.1,600,700,700,04 Sep 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.05,600,700,700,02 Sep 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.1,500,600,600,27 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.43,400,500,500,25 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.13,400,500,500,23 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.13,500,600,600,18 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.06,500,600,600,16 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.12,400,500,500,15 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.27,400,500,500,13 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.04,500,600,600,12 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.19,400,500,500,11 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,0.1,500,600,600,10 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Yam (Ratalu),Vegetables,0.1,400,500,500,04 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Yam (Ratalu),Vegetables,0.4,400,500,500,02 Aug 2019
Uttar Pradesh,Sonbhadra,Dudhi,Yam (Ratalu),Vegetables,0.34,500,600,600,01 Aug 2019
