State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.2,3000,3200,3050,09 Sep 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.5,2850,3150,2950,08 Sep 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.6,2800,3100,2950,07 Sep 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.1,2850,3000,2900,06 Sep 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.3,2800,3000,2850,05 Sep 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.2,2820,3000,2900,04 Sep 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.4,2700,3000,2850,02 Sep 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.5,2540,2750,2610,01 Sep 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.2,2250,2750,2610,30 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,1.2,2450,2700,2560,29 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.3,2600,2730,2650,28 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.2,2560,2730,2630,27 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.6,2600,2750,2650,26 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.4,2500,2650,2580,25 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.8,2600,2850,2720,24 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.7,2550,2750,2650,23 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,2.0,2650,2800,2730,22 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.8,2610,2800,2640,21 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.8,2620,2810,2660,20 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,1.5,2600,2800,2650,19 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,1.0,2640,2890,2730,18 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,1.2,2680,2800,2750,17 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,1.0,2580,2700,2630,16 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,1.5,2500,2700,2600,15 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.5,2560,2730,2610,14 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.6,2400,2620,2500,13 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,1.0,2500,2700,2550,12 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.6,2630,2850,2740,11 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.2,2600,2850,2700,10 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.4,2600,2790,2650,09 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.6,2650,2800,2710,08 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.4,2580,2700,2640,07 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.2,2470,2600,2520,06 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.5,2400,2700,2500,05 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.2,2300,2550,2450,04 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.6,2400,2630,2500,03 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,0.2,2400,2600,2500,02 Aug 2018
Uttar Pradesh,Sultanpur,Jafarganj,Other,Vegetables,1.0,2300,2500,2400,01 Aug 2018
